Code,CRUDOIL(P)~U$,OILBREN(P)~U$,CORSDIN(P)~U$,CORSDEU(P)~U$,PORKBEL(P)~U$,DIATGSI(P)~U$,DIAHGSI(P)~U$,DIA1GSI(P)~U$,CORNUS2(P)~U$,WHEATSF(P)~U$,GOLDHAR(P)~U$,PALLADM(P)~U$,SILVERH(P)~U$,PLATFRE(P)~U$
8/10/2015,44.96,49.29,1750,1548.26,121.08,1260,2230,5030,3.72,4.85,1097,600,15.32,971
8/11/2015,43.08,48.56,1750,1557.7,121.08,1190,1950,5140,3.62,4.67,1108.25,613,15.26,983
8/12/2015,43.3,49.21,1750,1577.72,121.08,1300,1950,5100,3.36,4.49,1119,615,15.56,990
8/13/2015,42.23,49.04,1750,1568.9,121.08,1270,2080,4010,3.48,4.6,1116.75,619,15.46,988
8/14/2015,42.5,48.73,1750,1566.69,182.23,1270,2160,4880,3.48,4.6,1118.25,623,15.24,997
8/17/2015,41.87,48.47,1750,1561.45,182.23,1120,2050,4430,3.46,4.4,1118.8,613,15.32,990
8/18/2015,42.62,47.94,1750,1555.79,182.23,1120,2140,4530,3.5,4.4,1111.45,598,14.83,989
8/19/2015,40.8,46.83,1750,1558.8,182.23,1080,2170,4550,3.5,4.36,1126.15,602,15.22,993
8/20/2015,41.32,46.57,1750,1579.02,182.23,1030,2040,4630,3.54,4.36,1147.7,617,15.52,1017
8/21/2015,40.45,44.73,1750,1595.31,182.23,1220,2150,4830,3.48,4.46,1156.5,610,15.31,1028
8/24/2015,38.09,42.55,1750,1632.08,182.23,1050,2150,4300,3.52,4.43,1166.5,577,14.93,986
8/25/2015,39.15,42.96,1750,1608.96,182.81,1180,2130,4970,3.49,4.4,1137.5,558,14.67,994
8/26/2015,38.44,42.71,1750,1607.96,182.81,1260,2150,4560,3.45,4.34,1120.75,524,14.11,973
8/27/2015,42.56,45.21,1750,1581.46,182.81,1260,1980,4230,3.47,4.29,1119,548,14.48,990
8/28/2015,45.22,48.93,1750,1582.28,182.81,1260,1940,4640,3.46,4.2,1135,573,14.46,1003
8/31/2015,49.2,49.76,1750,1579.92,182.81,1500,1970,4650,3.47,4.23,1127,573,14.65,1003
9/1/2015,45.41,49.84,1750,1587.44,182.81,1280,2250,4800,3.42,4.26,1142.3,598,14.63,1005
9/2/2015,46.25,48.13,1750,1583.54,182.81,1280,2250,5140,3.43,4.19,1137.75,584,14.57,1007
9/3/2015,46.75,51.43,1750,1564.64,169.72,1280,2150,5140,3.36,4.05,1128,585,14.67,1002
9/4/2015,46.05,49.65,1750,1567.33,169.72,1280,1970,4350,3.39,4.07,1118.25,575,14.6,991
9/7/2015,46.05,47.5,1750,1573.49,169.72,1280,1930,5030,3.39,4.07,1118.25,582,14.6,986
9/8/2015,45.94,49.14,1750,1577.15,169.16,1460,1920,4670,3.44,4.15,1121.15,595,14.85,998
9/9/2015,44.15,48.33,1750,1574.6,169.16,1300,2230,4970,3.45,4.14,1109.85,581,14.63,992
9/10/2015,45.92,48.02,1750,1582.38,163.41,1220,2240,4650,3.5,4.18,1109.5,591,14.7,987
9/11/2015,44.63,47.6,1750,1591.48,167.59,1260,1960,4710,3.59,4.25,1100.25,587,14.38,971
9/14/2015,44,46.55,1750,1592.29,167.59,1230,1960,5050,3.65,4.41,1104.8,589,14.4,952
9/15/2015,44.59,46.36,1750,1589.78,170.18,1270,2230,4590,3.61,4.31,1105.95,596,14.36,959
9/16/2015,47.15,49.14,1750,1592.58,170.18,1230,2210,4590,3.56,4.25,1117.6,598,14.89,964
9/17/2015,46.9,48.16,1750,1595.68,170.18,1300,2210,4700,3.5,4.01,1117.5,602,14.93,960
9/18/2015,44.68,47.19,1750,1604.17,170.18,1150,1900,4720,3.51,4.23,1141.5,611,15.19,988
9/21/2015,46.68,47.61,1750,1578.57,170.18,1130,2010,5350,3.59,4.33,1133.25,602,15.24,972
9/22/2015,46.36,47.11,1750,1569.82,170.18,1170,2010,4850,3.57,4.32,1122.9,595,14.8,946
9/23/2015,44.48,48.54,1750,1571.38,170.18,1170,2050,4740,3.6,4.22,1131.35,632,14.82,937
9/24/2015,44.78,47.22,1750,1591.69,170.18,1140,2210,4720,3.59,4.34,1154.5,650,15.15,935
9/25/2015,45.7,47.57,1750,1575.49,160.27,1200,1900,5330,3.66,4.44,1146.65,672,15.13,945
9/28/2015,44.43,46.52,1750,1580.41,160.27,1200,1980,4560,3.65,4.42,1131.05,651,14.57,922
9/29/2015,45.23,47.54,1750,1581.85,163.66,1200,2220,4150,3.69,4.4,1132.1,650,14.68,911
9/30/2015,45.09,47.52,1750,1573.87,163.66,1220,2240,4650,3.68,4.49,1114,661,14.55,908
10/1/2015,44.74,48.13,1750,1579.78,163.66,1200,2190,4410,3.69,4.55,1119,659,14.6,908
10/2/2015,45.54,46.64,1750,1589.87,163.66,1160,1990,4920,3.68,4.5,1140.75,694,15.26,912
10/5/2015,46.26,49.46,1750,1580.79,163.66,1160,2150,5210,3.73,4.52,1139.75,706,15.58,915
10/6/2015,48.53,51.44,1750,1588.03,164.93,1160,2150,4820,3.76,4.63,1147.5,701,16.01,931
10/7/2015,47.81,51.73,1750,1584.42,164.1,1250,2310,4820,3.77,4.53,1144.6,696,16.01,945
10/8/2015,49.43,52.35,1750,1590.06,147.48,1250,2310,4820,3.72,4.48,1140,694,15.72,934
10/9/2015,49.43,52.43,1750,1600.95,147.48,1140,2040,4640,3.66,4.46,1151.55,723,15.89,978
10/12/2015,47.1,51.42,1750,1603.48,157.33,1280,2260,4880,3.66,4.43,1164.9,711,15.9,993
10/13/2015,46.66,49.61,1750,1603.6,165.72,1120,2010,4760,3.68,4.56,1165.2,687,15.97,983
10/14/2015,46.64,48.53,1750,1612.5,165.72,1120,2010,4670,3.61,4.45,1173.9,688,16.12,990
10/15/2015,46.38,48.31,1750,1605.51,165.72,1120,2170,4930,3.58,4.39,1184.25,708,16.16,988
10/16/2015,47.26,49.32,1750,1604.18,165.72,1100,2080,5730,3.59,4.29,1180.85,703,16.1,1007
10/19/2015,45.89,48.28,1750,1594.72,173.12,1230,2280,4590,3.55,4.22,1175.4,693,15.83,1014
10/20/2015,46.29,47.9,1750,1599.25,173.12,1230,2280,3940,3.6,4.28,1177.75,691,15.82,1013
10/21/2015,44.7,47.56,1750,1600.94,173.12,1230,2280,3940,3.64,4.31,1167.1,680,15.71,1007
10/22/2015,44.88,47.29,1750,1573.7,173.12,1230,1800,3940,3.64,4.27,1167,672,15.88,1000
10/23/2015,44.6,47.02,1750,1555.52,173.12,1230,2140,5010,3.66,4.27,1161.25,699,15.85,1006
10/26/2015,43.98,47.19,1750,1557.84,165.62,1050,2090,4570,3.7,4.27,1166.4,685,15.94,993
10/27/2015,43.2,46.05,1750,1558.04,170.7,1050,2050,4800,3.66,4.46,1165.7,682,15.96,989
10/28/2015,45.94,48.31,1750,1560.21,173.12,1050,2160,4790,3.63,4.43,1179.6,691,16.35,1005
10/29/2015,46.06,48.52,1750,1545.52,158.54,1050,2160,4790,3.67,4.52,1148.6,673,15.6,993
10/30/2015,46.59,48.45,1750,1557.64,158.54,1250,1970,4920,3.69,4.64,1142.35,677,15.56,988
11/2/2015,46.14,48.33,1750,1555.93,173.02,1290,2270,4820,3.66,4.5,1134,655,15.39,973
11/3/2015,47.9,49.3,1750,1544.29,173.02,1190,2270,4820,3.7,4.58,1123.1,644,15.33,960
11/4/2015,46.32,48.3,1750,1531.4,173.02,1190,2160,4450,3.74,4.68,1114.7,648,15.18,971
11/5/2015,45.2,47.95,1750,1531.79,173.02,1200,2150,5070,3.67,4.68,1106.3,612,15.02,954
11/6/2015,44.29,46.99,1750,1514.61,173.02,1200,2230,5010,3.66,4.65,1088.9,606,14.76,939
11/9/2015,43.87,46.64,1750,1515.12,132.75,1200,2250,4310,3.61,4.43,1089.6,603,14.51,918
11/10/2015,44.21,46.92,1750,1507.76,132.75,1200,2250,4780,3.54,4.32,1087.1,601,14.44,903
11/11/2015,42.93,45.57,1750,1512.74,132.75,1240,2290,4830,3.54,4.36,1085.9,588,14.32,889
11/12/2015,41.75,43.92,1750,1516.46,132.75,1240,2270,4830,3.58,4.4,1087.4,567,14.26,879
11/13/2015,40.74,43.44,1750,1513.11,121.53,1200,2210,5050,3.54,4.38,1081.5,542,14.25,866
11/16/2015,41.74,42.09,1750,1511.12,142.54,1210,2290,4940,3.56,4.36,1084.75,543,14.22,862
11/17/2015,40.67,42.84,1750,1501.71,142.54,1180,2350,4790,3.58,4.29,1079.2,547,14.13,861
11/18/2015,40.75,42.63,1750,1501.23,142.54,1190,2170,4870,3.58,4.33,1067.75,544,14.07,844
11/19/2015,40.54,43.1,1750,1513.93,142.54,1190,2170,4640,3.61,4.4,1082.6,533,14.37,848
11/20/2015,40.39,43.27,1750,1504.5,126.84,1200,2180,4370,3.6,4.38,1081.75,551,14.13,858
11/23/2015,39.78,44.25,1750,1497.25,126.84,1250,2260,4560,3.6,4.45,1070.5,548,14.08,847
11/24/2015,41.1,45.01,1750,1500.38,126.84,1270,1990,4830,3.61,4.34,1076.4,537,14.24,840
11/25/2015,41.84,44.26,1750,1494.84,126.84,1270,1970,4410,3.63,4.29,1068,539,14.16,834
11/26/2015,41.84,44.2,1750,1497.26,126.84,1270,2200,4480,3.63,4.29,1068,558,14.16,850
11/27/2015,41.84,43.88,1750,1493.88,126.84,1270,1980,4880,3.63,4.18,1057.4,551,14.07,827
11/30/2015,40.45,44.11,1750,1489.13,117.98,1260,2240,4690,3.61,4.13,1061.9,538,14.07,831
12/1/2015,41.85,44.07,1750,1495.69,117.98,1260,2240,4690,3.64,4.09,1065.4,547,14.1,843
12/2/2015,39.94,42.93,1750,1490.83,162.31,1260,2230,4610,3.6,4.05,1055.4,529,13.97,834
12/3/2015,41.08,42.9,1750,1530,162.31,1440,2220,4550,3.67,4.16,1055.45,528,14.04,845
12/4/2015,41.08,42.77,1750,1535.32,162.31,1440,2220,4550,3.73,4.22,1079.25,542,14.59,859
12/7/2015,37.65,40.78,1750,1530.16,162.31,1440,2220,4550,3.66,4.2,1075.8,557,14.37,878
12/8/2015,37.51,40.51,1750,1532.8,162.31,1440,2220,4550,3.65,4.19,1072.1,558,14.13,852
12/9/2015,37.16,40.18,1750,1545.8,162.31,1360,2220,4510,3.65,4.27,1081,554,14.16,855
12/10/2015,36.76,39.46,1750,1542.18,162.31,1270,2210,4580,3.68,4.33,1071,556,14.13,857
