Code,D:SAP(P)~U$,D:ALV(P)~U$,D:SIE(P)~U$,D:BAYN(P)~U$,D:DTE(P)~U$,D:ADS(P)~U$,D:BAS(P)~U$,D:DAI(P)~U$,D:BMW(P)~U$,D:DPW(P)~U$,D:DB1(P)~U$,D:EOAN(P)~U$,D:MUV2(P)~U$,D:BEI(P)~U$,D:DBK(P)~U$,D:VNA(P)~U$,D:CON(P)~U$,D:FRE(P)~U$,D:FME(P)~U$,D:IFX(P)~U$,D:RWE(P)~U$,D:LHA(P)~U$,D:MRK(P)~U$,D:WDI(P)~U$,D:1COV(P)~U$,D:HEI(P)~U$,D:MTX(P)~U$,D:LIN(P)~U$,D:VOW3(P)~U$,D:HEN3(P)~U$
8/10/2015,72.801,172.105,110.417,145.718,18.895,81.181,90.59,92.353,102.777,29.931,91.892,11.573,191.609,90.233,30.308,31.554,247.522,70.75,83.167,11.189,21.079,13.418,100.121,40.64,NA,80.125,94.597,NA,210.179,121.884
8/11/2015,71.754,170.761,108.211,142.961,18.803,78.77,87.994,88.807,99.008,29.685,91.142,11.388,190.095,89.154,29.747,31.3,238.422,69.92,82.023,10.974,20.657,13.533,98.304,40.06,NA,79.632,93.914,NA,203.717,120.309
8/12/2015,71.221,168.772,106.911,141.26,18.552,77.358,86.472,85.979,97.347,29.617,89.75,11.512,189.101,86.365,29.281,31.137,232.292,70.554,81.675,10.725,20.537,13.671,96.429,39.711,NA,78.013,92.192,NA,200.325,111.712
8/13/2015,70.879,169.972,107.174,142.295,18.518,77.251,85.733,86.178,96.118,29.432,92.131,11.486,188.48,86.202,29.167,32.108,227.825,71.879,81.594,10.812,18.97,13.396,96.921,40.168,NA,78.332,93.9,NA,198.95,109.746
8/14/2015,70.332,170.816,106.621,141.548,18.346,76.434,85.16,86.068,96.384,29.174,93.335,11.381,187.231,86.85,28.75,32.73,230.948,72.622,82.093,10.645,18.328,13.221,97.071,40.319,NA,77.834,92.593,NA,199.947,110.647
8/17/2015,70.046,168.533,105.478,140.638,18.019,76.029,84.218,84.923,96.371,29.18,92.491,11.246,186.211,85.519,28.604,32.261,229.688,72.756,81.056,10.659,18.118,13.105,95.747,40.479,NA,78.297,93.277,NA,197.373,107.614
8/18/2015,69.668,168.221,104.431,140.453,17.873,75.062,83.041,83.8,94.961,28.877,91.582,11.014,185.658,85.456,28.401,32.654,225.965,73.405,81.686,10.703,17.374,13.141,98.527,43.033,NA,78.216,92.465,NA,195.151,105.706
8/19/2015,69.383,165.813,102.04,136.973,17.54,74.549,80.994,82.085,93.205,28.574,89.994,10.794,184.126,83.775,28,33.098,220.001,72.821,81.102,10.358,16.937,12.791,97.387,42.951,NA,77.523,91.986,NA,190.925,104.543
8/20/2015,68.766,160.814,100.967,134.451,16.988,73.618,79.802,80.354,91.361,28.242,87.899,10.75,183.927,82.898,27.365,32.39,213.335,71.673,79.119,10.19,17.063,12.8,94.813,41.547,NA,77.283,89.55,NA,188.306,104.233
8/21/2015,67.772,158.105,99.837,130.471,16.798,73.452,78.351,79.256,90.637,27.664,85.278,10.415,182.314,81.462,26.651,31.681,213.097,67.725,75.87,10.147,16.455,12.242,91.645,41.167,NA,76.484,88.189,NA,187.646,105.562
8/24/2015,66.672,157.768,99.441,131.111,16.448,75.002,79,79.245,90.987,27.954,86.449,10.015,186.558,82.472,25.881,31.995,214.196,68.317,76.851,10.291,15.556,12.43,93.813,42.475,NA,76.426,88.339,NA,188.441,107.873
8/25/2015,67.382,157.482,98.364,131.768,16.861,74.229,78.506,79.945,92.03,27.634,87.865,10.01,183.033,81.177,26.338,31.889,214.323,67.363,75.947,10.785,15.633,12.575,93.913,42.529,NA,75.116,88.082,NA,191.329,106.51
8/26/2015,66.904,158.996,99.366,131.674,16.893,74.588,78.773,80.34,92.589,27.908,88.608,9.948,184.559,81.037,26.508,32.201,217.257,68.285,75.852,10.591,15.578,12.544,93.546,40.997,NA,75.468,87.719,NA,192.339,105.85
8/27/2015,67.567,160.148,99.494,134.88,17.256,75.14,80.969,81.822,93.696,28.019,89.964,10.127,184.32,81.826,26.691,32.739,216.943,71.894,77.131,10.791,15.919,12.527,96.03,41.249,NA,76.43,90.05,NA,194.374,105.06
8/28/2015,67.443,159.392,99.345,134.067,17.04,75.226,81.061,80.995,93.339,27.813,88.989,10.09,184.218,83.109,26.364,32.693,214.899,70.278,76.565,10.743,15.766,12.411,95.891,41.521,NA,75.661,89.359,NA,191.894,104.476
8/31/2015,67.365,159.775,99.112,133.756,17.106,74.551,80.453,80.252,92.56,27.553,89.641,9.931,184.48,82.866,26.39,32.943,212.897,71.096,76.564,10.872,15.005,12.191,95.131,42.028,NA,75.057,88.573,NA,190.576,103.983
