Code,D:SAP(VA)~U$,D:ALV(VA)~U$,D:SIE(VA)~U$,D:BAYN(VA)~U$,D:DTE(VA)~U$,D:ADS(VA)~U$,D:BAS(VA)~U$,D:DAI(VA)~U$,D:BMW(VA)~U$,D:DPW(VA)~U$,D:DB1(VA)~U$,D:EOAN(VA)~U$,D:MUV2(VA)~U$,D:BEI(VA)~U$,D:DBK(VA)~U$,D:VNA(VA)~U$,D:CON(VA)~U$,D:FRE(VA)~U$,D:FME(VA)~U$,D:IFX(VA)~U$,D:RWE(VA)~U$,D:LHA(VA)~U$,D:MRK(VA)~U$,D:WDI(VA)~U$,D:1COV(VA)~U$,D:HEI(VA)~U$,D:MTX(VA)~U$,D:LIN(VA)~U$,D:VOW3(VA)~U$,D:HEN3(VA)~U$
8/10/2015,79.9,2680.9,47.4,550.4,29.4,130,674.1,441.2,242.6,64.2,54.7,217.5,320.3,28.8,1318.3,212.8,278.2,100,1104.6,35.7,424,182.4,28.7,18.8,NA,141.3,11.4,NA,5.6,283.3
8/11/2015,157.2,1337.3,101,509.2,36.1,142.2,1111.7,519.5,2358.6,66.3,57.7,452.6,394,29.7,657.5,160.1,1013.9,101.2,3877.8,36.5,428.6,358.7,32.4,22,NA,54.6,14.2,NA,7,292.6
8/12/2015,725.9,1924.9,113,2407,36.6,211.4,3393.5,581,1997.5,87.6,60.6,818.6,577.2,73.3,3294.6,229.5,1601,117.3,4435.5,39.6,473.3,416.6,51.6,26.3,NA,158.4,6,NA,8.1,727.4
8/13/2015,56.8,1040.5,113.2,901.1,37.4,272.6,1943.1,620.8,1131.6,99.9,61,319.1,579.5,54.3,1555.6,19,884.3,128.1,0.3,56.3,1025.4,567.6,55,30.2,NA,61.1,53.2,NA,13.5,1082.9
8/14/2015,251.9,552.4,121.7,516.9,57.6,366.3,2071.8,681.6,519,101.3,92.4,497.7,288.8,9,957.9,139.1,304.1,150.8,14,65.6,3476.1,341.6,71.1,32,NA,167.7,46.4,NA,16.1,1119.9
8/17/2015,351.6,677.8,138,282.8,58.7,370.5,2545.7,794,1227.5,112.4,107.9,752.7,655.3,11.4,894.2,100.1,284.2,191.8,15.9,71,2.9,272.6,77.7,36,NA,61,96.5,NA,21.1,1348.6
8/18/2015,114.2,725.4,139.6,613.3,64.7,380.3,2069.2,910.8,423.6,114.9,136.2,801.8,275,4.3,242.1,74.7,192.8,263.6,27,92.7,4.2,134.1,89.8,38.2,NA,17,13.7,NA,22.1,1500.5
8/19/2015,183.6,1600.9,155.7,970.7,67.1,435.4,2341.8,937.3,995.8,152.4,241.2,607,392.6,55.8,745.3,266.4,1023.8,333.4,44.8,93.9,10.2,629.3,104.8,44.2,NA,45.5,NA,NA,24,1824.9
8/20/2015,357.9,3729,158.6,892.5,70.2,470.7,3495.2,1162,1334.5,164,257.8,772.2,648.7,116.3,1317.4,199.1,1345.8,347.9,45.8,105.6,15.6,385.6,112.2,55.8,NA,157,26.2,NA,25.1,3755.4
8/21/2015,885.3,3626.8,174.5,1749.8,71.8,521.8,4726.6,1441.7,1541.1,166,354.8,1052.6,1870.3,172.9,2407,296.3,910.1,373.2,55.1,112.5,15.8,1212,120.9,60.6,NA,109.1,139.5,NA,27,4.1
8/24/2015,1543.8,9101.9,183.4,4382.9,132.5,568.1,8230.6,2158.3,3447.3,311.6,384.5,2358.2,3765,403,4801.4,584,1380.2,467.5,57.6,147.9,17,1514.3,140.5,63.9,NA,800.5,145,NA,35.1,9.2
8/25/2015,1172.7,5353.4,181.4,3737.2,138.4,823.7,9563.3,2363.3,2732.6,355.6,547.1,1600.4,2174.4,199.6,3355.3,399.2,942.1,522.2,68.9,192.4,23.5,877.3,195.7,66.3,NA,489.4,9.9,NA,42.1,15.4
8/26/2015,708.4,3004.6,193.8,2054,271.5,1113.3,4069.2,3276.6,1606,455.4,569,693.3,1091.6,127.5,3132.6,301.9,582.8,914.2,97,207.9,23.7,573.9,225.4,68.5,NA,160.5,35.1,NA,43.8,19.1
8/27/2015,355.9,2309.5,287.5,1808.9,268.6,1297.2,3282.8,6992.9,1155.7,473.4,580.7,328,786.8,90.5,1843.9,455.7,415.6,967.3,96.2,309.8,24.4,290.9,272.9,91.7,NA,73.5,119.4,NA,50.2,28.8
8/28/2015,247.9,1486.2,316.8,963.7,454.8,1496,1621.4,16659.2,419,879.5,692.4,331,604.3,95.2,957.1,191.2,340.2,978.2,143.9,380.3,30.4,330.7,278.1,101.5,NA,247.3,119.3,NA,68.9,50
8/31/2015,99.2,834.2,323.6,754.2,583.7,1682.1,1179.7,17824.6,347.3,1071.4,923.9,175.9,478.7,62.7,1315.4,151.1,221,1206.1,145.3,443.7,44.8,189.5,289.8,144.9,NA,5.4,NA,NA,76,53
9/1/2015,489,2963.5,331.7,1600.3,698.6,1880.2,2117.6,27.8,773.5,1172.1,1022.7,339.9,483.1,47.7,1656,646.1,667.8,1320.2,154.7,538.9,54.7,336.7,321.8,201.6,NA,72.7,NA,NA,91.5,75.3
9/2/2015,164.1,1101.8,385.6,703.9,771.8,2065.6,1276.6,32.3,386.2,1247.3,1110.8,417.6,384.3,36.5,850.3,365.3,292.1,2970.2,155.2,748.1,57.1,291,572.9,210.8,NA,82.5,110.7,NA,104.8,80.3
9/3/2015,125.4,1610.8,386.8,666.7,1322.5,2266.1,1640.7,41.4,439.1,1693.9,1319.2,514.2,408.2,53,555.3,317,547.5,3148.4,217.9,851.2,63.8,204.4,699.5,251.8,NA,44,59.7,NA,134.7,116.3
9/4/2015,206.7,1187.3,411.7,903.8,1478.2,5428.2,2616.6,47.9,425.1,2198.4,1431.6,829,1676.5,75.7,933.5,673.8,278.5,3496.8,230.2,1079.4,69.4,678.4,814.3,269.2,NA,165.4,16.8,NA,163.9,128.3
9/7/2015,125,575.9,471,707.8,1593.7,6326.4,1206.5,74.1,300.2,3064.5,1561.4,467.4,234.1,40.2,512.9,95.4,85.7,2.8,248.4,1401.5,72,273.4,1448.1,377.9,NA,16,54.8,NA,196.6,130.8
9/8/2015,83.6,788.6,577,433.8,2991.1,7807,892.4,166.2,484.8,3502.1,2703.4,289.6,175.4,59.5,1019,155.4,226.4,5.5,338,2075.7,83.2,253,2000.7,422.1,NA,202.3,60,NA,199.8,133.4
9/9/2015,808.1,2943.9,800.2,1297.6,3603.4,35,1238.4,318.2,1148.8,4.3,3158,433.7,233.4,99.5,2061.9,211.5,267.2,5.7,412.7,2804.4,137.6,507.2,2040.1,497.4,NA,328.3,NA,NA,236,134.9
9/10/2015,98.8,741,855.3,506.6,5285.4,50.4,1216.9,322.1,877.6,4.7,3180.2,2946.1,108,73.3,1227.9,34.3,307,7.1,497.1,3008.6,141.7,169.2,2338.8,538.3,NA,55.8,9,NA,242.4,172.6
9/11/2015,47.4,320.3,1174.6,307.4,2,86.2,876.7,347.3,468.5,6.7,3496.1,1834.8,216,8.6,303,4.5,43.8,15.8,520,6628.5,178.3,118.3,3257.8,6055.4,NA,282,NA,NA,245.2,246.9
9/14/2015,169.8,501.8,1898.6,633.4,3.8,100.4,1034.7,367.7,183.3,10.4,3678.2,1365.3,256.6,4.5,555.7,32.2,281.2,17.1,522.3,1.3,191.7,299.3,4792.9,7.1,NA,36.1,3.2,NA,251.9,255
9/15/2015,216.8,736.8,3212.3,429,8.3,113.6,845.8,394.8,503.2,11.1,5497,3525.6,115.7,2.1,497.9,251.1,156.3,18.3,643.9,7.8,197.7,234.8,8.7,9.3,NA,54.4,111.3,NA,310.5,270.9
9/16/2015,1125,898.8,5876.2,358.4,9.2,126.5,506.8,479.1,373.1,23.9,1.2,2803.5,369.3,109.3,705.8,49.5,38.1,18.4,940,9.9,262.8,210.6,12.1,10,NA,97.8,22.8,NA,455.2,298.7
