Code,III(P)~U$,AZN(P)~U$,HSBA(P)~U$,GSK(P)~U$,BP.(P)~U$,BATS(P)~U$,DGE(P)~U$,ULVR(P)~U$,RIO(P)~U$,RDSB(P)~U$,RB.(P)~U$,VOD(P)~U$,REL(P)~U$,BHP(P)~U$,NG.(P)~U$,TSCO(P)~U$,LSE(P)~U$,PRU(P)~U$,BARC(P)~U$,LLOY(P)~U$,AAL(P)~U$,BA.(P)~U$,CPG(P)~U$,EXPN(P)~U$,SMT(P)~U$,ABF(P)~U$,BT.A(P)~U$,CRH(P)~U$,GLEN(P)~U$,IMB(P)~U$,RBS(P)~U$,STAN(P)~U$,MRW(P)~U$,SN.(P)~U$,SSE(P)~U$,AV.(P)~U$,FERG(P)~U$,LGEN(P)~U$,OCDO(P)~U$,ANTO(P)~U$,CRDA(P)~U$,EZJ(P)~U$,HLMA(P)~U$,IHG(P)~U$,INF(P)~U$,NXT(P)~U$,RR.(P)~U$,SGE(P)~U$,SGRO(P)~U$,WPP(P)~U$,BNZL(P)~U$,BRBY(P)~U$,IAG(P)~U$,JD.(P)~U$,PSN(P)~U$,ADM(P)~U$,AHT(P)~U$,AVV(P)~U$,BDEV(P)~U$,BLND(P)~U$,CCL(P)~U$,CNA(P)~U$,CCH(P)~U$,FLTR(P)~U$,FRES(P)~U$,HL.(P)~U$,HIK(P)~U$,ITRK(P)~U$,ITV(P)~U$,LAND(P)~U$,MRO(P)~U$,MNDI(P)~U$,PSON(P)~U$,RTO(P)~U$,RMV(P)~U$,SDR(P)~U$,SPX(P)~U$,UU.(P)~U$,AUTO(P)~U$,BKG(P)~U$,DCC(P)~U$,JMAT(P)~U$,MNG(P)~U$,MGGT(P)~U$,NMC(P)~U$,PNN(P)~U$,POLY(P)~U$,SBRY(P)~U$,SVT(P)~U$,SMDS(P)~U$,SMIN(P)~U$,STJ(P)~U$,TW.(P)~U$,WTB(P)~U$,EVR(P)~U$,ICP(P)~U$,PHNX(P)~U$,RSA(P)~U$,SLA(P)~U$,RDSA(P)~U$,,SKG(P)~U$
8/10/2015,8.36,67.75,9.08,22.66,5.99,59.42,28.44,45.91,40.96,29.43,97.19,3.8,17.02,18.79,13.42,3.31,40.33,20,4.39,1.26,12.57,7.35,16.36,18.61,4.27,50.17,7.33,30.48,3.2,52.56,5.35,13.57,2.84,18.5,24.13,8.11,70.12,4.3,5.96,9.23,51.03,26.46,11.98,40.73,8.44,123.43,11.68,8.17,6.84,22.45,28.84,24.98,8.65,2.68,32.74,22.85,15.06,22.17,10.17,13.59,54.78,4.23,20.58,88.372,10.1,18.61,36.11,42.13,4.09,20.77,0.8,25.04,18.53,2.36,5.66,48.63,50.6,13.79,5.46,54.91,77.88,45.8,NA,7.92,13.49,12.48,7.15,4.11,34.12,6.09,18.75,15.3,3.14,81.3,1.49,9.03,10.62,7.85,6.86,29.22,"$$ER: 2361,NO DATA AVAILABLE",30.504
8/11/2015,8.36,67.6,8.99,22.38,5.93,58.77,28.16,45.35,39.76,29.25,95.36,3.76,16.88,17.88,13.38,3.26,40.27,20.97,4.33,1.26,12.07,7.28,16.14,18.28,4.21,50,7.25,30.38,2.97,52.04,5.37,13.44,2.83,18.34,24.11,8.1,70.43,4.26,5.83,8.91,50.84,26.3,12.05,40.01,8.4,123.17,11.56,8.13,6.77,22.27,28.73,23.92,8.56,2.7,32.53,22.7,15.18,22.31,10.02,13.49,54.19,4.21,20.93,89.176,10.17,18.58,35.82,41.53,4.02,20.54,0.81,24.65,18.27,2.34,5.64,47.88,50.44,13.77,5.51,55.12,77.78,44.67,NA,7.89,13.66,12.48,6.89,4.02,34.02,6.04,18.55,15.25,3.14,81.36,1.47,9.04,10.64,7.9,6.86,29.07,,29.939
8/12/2015,8.09,67.06,8.81,22.19,6,57.97,27.75,43.59,39.94,29.56,93.1,3.7,16.73,17.94,13.51,3.19,39.45,20.52,4.24,1.25,12.04,7.19,16.03,18.06,4.08,49.71,7.21,29.69,2.82,51.23,5.3,13.11,2.75,18.29,24.17,7.97,69.01,4.23,5.62,8.98,50.67,25.97,11.84,39.25,8.38,123.37,11.64,7.99,6.71,22.13,28.57,23.17,8.22,2.66,32.09,22.41,15.29,21.84,9.9,13.42,53.57,4.2,20.69,89.516,10.34,18.06,35.76,41.51,3.98,20.45,0.81,24,18.23,2.32,5.66,46.78,50.07,13.78,5.44,54.35,77.09,43.84,NA,7.81,12.98,12.35,7.02,3.95,33.85,5.87,18.4,14.98,3.11,80.61,1.5,8.89,10.53,7.89,6.77,29.36,,28.981
8/13/2015,8.24,66.6,8.74,22.01,5.97,58.14,27.46,43.95,38.32,28.57,93.38,3.73,16.89,17.95,13.56,3.15,40.69,20.6,4.29,1.24,11.92,7.28,16.19,18.03,4.1,50.31,7.08,30.59,2.76,51.24,5.28,12.91,2.74,18.4,24.11,7.96,69.32,4.21,5.65,8.92,51.44,26.29,12.04,39.66,8.41,123.66,11.57,8.07,6.82,22.27,28.85,23.13,8.38,2.72,32.34,22.69,14.82,21.89,10,13.46,54.29,4.17,22.13,90.017,10.43,18.2,36.48,41.64,4.03,20.52,0.81,24.3,17.94,2.31,5.81,46.85,51.1,13.76,5.47,53.25,77.87,44.19,NA,7.8,12.83,12.3,7.06,3.94,33.68,5.98,18.72,14.99,3.14,80.8,1.49,8.93,10.61,7.92,6.78,28.39,,30.032
8/14/2015,8.3,66.3,8.71,21.89,5.92,58.08,27.71,43.8,38.44,28.31,93.48,3.73,16.9,17.95,13.62,3.16,41.11,20.43,4.28,1.25,11.81,7.31,16.3,18.11,4.09,50.79,7.12,30.45,2.7,51.18,5.33,12.84,2.78,18.4,24.01,7.96,69.32,4.18,5.65,8.89,51.95,26.68,12.14,39.51,8.41,124.48,11.58,8.17,6.9,22.13,29.06,23.26,8.47,2.7,32.86,22.48,14.86,22.14,10.19,13.6,54.16,4.18,21.88,90.235,10.4,18.25,37.46,41.6,4.07,20.59,0.81,24.51,18.09,2.34,5.87,46.62,51.88,13.91,5.45,53.73,78.44,43.98,NA,7.82,12.28,12.29,7.11,3.98,33.82,6,18.4,15.3,3.2,81.01,1.5,8.88,10.6,7.91,6.82,28.05,,30.267
8/17/2015,8.23,66.73,8.7,22,5.9,58.13,27.64,43.68,38.14,28.27,93.47,3.73,16.91,17.68,13.76,3.15,40.84,20.39,4.27,1.25,11.78,7.31,16.2,18.13,4.1,51.12,7.1,30.72,2.65,51.07,5.3,12.66,2.74,18.58,23.96,7.96,70.8,4.16,5.81,8.95,51.36,26.91,12.11,39.55,8.43,124.64,11.56,8.21,6.91,22.2,28.94,23.27,8.47,2.71,33.09,22.95,14.85,22.02,10.19,13.68,54.74,4.19,21.98,89.589,10.47,18.33,37.72,41.53,4.05,20.64,0.81,24.43,18.13,2.34,5.88,46.8,51.96,14.01,5.58,53.91,78.31,43.63,NA,7.82,11.82,12.35,7.17,3.95,34.07,5.98,18.22,15.05,3.2,80.26,1.44,8.89,10.54,7.92,6.78,27.97,,30.354
8/18/2015,8.24,67.48,8.7,21.96,5.85,58.07,27.66,43.54,37.76,27.91,93.35,3.75,16.97,17.42,13.8,3.11,40.8,20.29,4.29,1.26,11.61,7.32,16.28,18.13,4.1,51.29,7.11,30.68,2.76,50.72,5.33,12.65,2.73,18.77,23.84,7.97,71.59,4.14,5.92,8.79,51.32,27.32,12.27,39.7,8.38,125.17,11.51,8.18,6.94,22.31,28.95,23.11,8.61,2.74,32.63,22.95,14.87,22.29,10.03,13.65,54.75,4.2,22.2,90.479,10.32,18.41,37.57,41.6,4.06,20.77,0.8,24.38,18.18,2.36,5.9,46.59,52.29,14.16,5.56,54.15,78.67,43.64,NA,7.78,12.03,12.38,7.31,3.95,34.33,6.03,18.19,15.16,3.19,80.08,1.36,8.92,10.6,7.98,6.87,27.62,,30.652
8/19/2015,7.99,66.35,8.46,21.57,5.75,57.22,27.31,42.69,36.35,27.23,92.09,3.68,16.73,16.77,13.73,3.05,40.61,20.24,4.19,1.23,11.1,7.19,16.1,17.68,4.02,50.42,7,30,2.49,50.45,5.2,12.3,2.64,18.28,23.66,7.77,70.84,4.09,5.82,8.64,50.32,26.57,12.05,38.96,8.38,123.85,11.1,8.14,6.84,21.91,28.56,22.55,8.43,2.74,33.41,23.82,14.26,22,10.01,13.43,53.99,4.12,22.08,89.581,10.14,18.09,38.53,40.72,4.02,20.48,0.8,24,17.9,2.33,5.88,45.52,50.84,14.08,5.63,54.14,77.79,42.27,NA,7.61,11.89,12.3,7,3.85,34.25,5.91,17.73,14.87,3.19,79.1,1.34,8.73,10.57,7.92,6.87,27.06,,30.767
8/20/2015,7.87,65.58,8.39,21.47,5.79,56.13,27.26,42.08,36.99,27.47,92.02,3.64,16.69,17.12,13.77,3.03,39.98,19.69,4.15,1.23,11.6,7.16,16.19,17.58,4.01,50.31,6.99,29.69,2.55,49.68,5.2,12.15,2.65,18.14,23.6,7.76,69.63,4.06,5.56,8.95,49.32,26.67,11.83,38.34,8.29,123.86,11.1,7.98,6.72,21.79,28.53,22.2,8.29,2.72,33.18,24.87,14.3,21.57,9.89,13.45,52.61,4.15,21.98,89.59,10.72,17.72,37.9,40.42,3.98,20.37,0.8,23.31,17.91,2.33,5.83,44.76,50.18,14.04,5.58,53.88,77.57,41.99,NA,7.62,11.97,12.29,7.31,3.85,34.19,5.83,17.6,14.88,3.11,78.03,1.36,8.49,10.67,7.94,6.86,27.24,,30.382
8/21/2015,7.63,63.52,8.17,20.75,5.6,54.83,26.39,41.08,36.27,26.52,89.8,3.52,16.5,16.69,13.43,2.95,38.59,18.99,4.02,1.19,11.48,6.97,15.94,17.08,3.84,48.78,6.83,28.3,2.48,48.56,5.06,11.63,2.59,17.58,23.35,7.55,67.51,3.97,5.35,8.82,47.73,25.45,11.63,37.66,8.17,122.21,10.72,7.86,6.56,21.22,27.97,21.98,8.03,2.61,32.04,24.46,13.98,21.16,9.57,13.25,50.28,4.03,21.22,89.269,10.68,17.11,36.35,39.72,3.87,20.07,0.79,22.64,17.5,2.29,5.67,43.03,48.74,13.65,5.42,51.96,75.05,41.65,NA,7.37,11.89,11.85,7.6,3.75,33.33,5.65,17.06,14.37,3.03,76.16,1.32,8.19,10.5,7.7,6.65,26.42,,29.462
