Code,III(VA)~U$,AZN(VA)~U$,HSBA(VA)~U$,GSK(VA)~U$,BP.(VA)~U$,BATS(VA)~U$,DGE(VA)~U$,ULVR(VA)~U$,RIO(VA)~U$,RDSB(VA)~U$,RB.(VA)~U$,VOD(VA)~U$,REL(VA)~U$,BHP(VA)~U$,NG.(VA)~U$,TSCO(VA)~U$,LSE(VA)~U$,PRU(VA)~U$,BARC(VA)~U$,LLOY(VA)~U$,AAL(VA)~U$,BA.(VA)~U$,CPG(VA)~U$,EXPN(VA)~U$,SMT(VA)~U$,ABF(VA)~U$,BT.A(VA)~U$,CRH(VA)~U$,GLEN(VA)~U$,IMB(VA)~U$,RBS(VA)~U$,STAN(VA)~U$,MRW(VA)~U$,SN.(VA)~U$,SSE(VA)~U$,AV.(VA)~U$,FERG(VA)~U$,LGEN(VA)~U$,OCDO(VA)~U$,ANTO(VA)~U$,CRDA(VA)~U$,EZJ(VA)~U$,HLMA(VA)~U$,IHG(VA)~U$,INF(VA)~U$,NXT(VA)~U$,RR.(VA)~U$,SGE(VA)~U$,SGRO(VA)~U$,WPP(VA)~U$,BNZL(VA)~U$,BRBY(VA)~U$,IAG(VA)~U$,JD.(VA)~U$,PSN(VA)~U$,ADM(VA)~U$,AHT(VA)~U$,AVV(VA)~U$,BDEV(VA)~U$,BLND(VA)~U$,CCL(VA)~U$,CNA(VA)~U$,CCH(VA)~U$,FLTR(VA)~U$,FRES(VA)~U$,HL.(VA)~U$,HIK(VA)~U$,ITRK(VA)~U$,ITV(VA)~U$,LAND(VA)~U$,MRO(VA)~U$,MNDI(VA)~U$,PSON(VA)~U$,RTO(VA)~U$,RMV(VA)~U$,SDR(VA)~U$,SPX(VA)~U$,UU.(VA)~U$,AUTO(VA)~U$,BKG(VA)~U$,DCC(VA)~U$,JMAT(VA)~U$,MNG(VA)~U$,MGGT(VA)~U$,NMC(VA)~U$,PNN(VA)~U$,POLY(VA)~U$,SBRY(VA)~U$,SVT(VA)~U$,SMDS(VA)~U$,SMIN(VA)~U$,STJ(VA)~U$,TW.(VA)~U$,WTB(VA)~U$,EVR(VA)~U$,ICP(VA)~U$,PHNX(VA)~U$,RSA(VA)~U$,SLA(VA)~U$,RDSA(VA)~U$,,SKG(VA)~U$
8/10/2015,39499.6,171544.3,478168.7,171793.1,394403.5,120333,157452.9,128500.1,218945.4,169703.2,84259.6,104776.5,74124.2,144744.9,54193.5,67922,37476,140343.1,198963.3,262969.1,73475.7,40236.6,62893.9,20095.7,5813.3,23922.8,90998.6,31257.4,103861.7,83762.6,136903.5,210993.4,24153.5,33456.9,69430.1,75386.3,27387.2,53992.1,4475.4,26517.4,12554.3,22072.8,5531.5,33659.3,5415.9,46611.8,45355.2,14011,8715.7,90314.7,12338.2,28584.8,70246.2,1590.6,29322.3,18751.7,39260.7,2918.4,33257.9,35251.6,41290.4,35832.4,4492.7,587,16647.8,9790.3,12023,18282.5,44264.6,31946.4,12604.6,36700.4,36294.6,4396.4,7925.8,16380.2,6411,19367.3,4492.6,40617.6,9420.3,18241.5,NA,18394.3,300.5,6573.8,5440.9,17508.3,16251.2,11099.7,20145.6,22088.6,39967.4,31821,4403.1,6835.3,3923.1,27189.3,24378.8,155473.3,"$$ER: 0904,NO DATA AVAILABLE",5225.2
8/11/2015,11520.7,116808.1,208411.4,208298.2,186380,140719.8,152689.2,126544.6,334086.6,146996.4,127182.3,115824.5,48731,258102.5,91981.7,55008.9,34542.3,268839.8,119451.3,182980.4,176942.9,35705.9,55429.3,31485.9,4653.2,26875.9,101952.5,37021.1,240639.1,69216.2,113833.8,127031.9,16539.7,38444.3,54441.5,55585.3,40503.5,59572.9,6862.5,23532.9,11245.3,21512.8,4779.6,26569.8,5076.8,46409.7,64363.3,12856.7,7634.8,98010.1,12723.8,42848.6,50564.4,1764.1,37868.1,10840,50177,1907.6,35420.1,37765.8,43344.4,55662.7,9373.7,371.6,20993.4,7971.8,14398.7,19237.6,91003.5,45387.1,11651.1,51775.4,43636.3,3338.5,7075.4,22733,6427.2,22497.6,8132.3,31988.8,8184,22913.6,NA,19506.6,924.9,8385.6,7786,24854.1,14449,15624.4,14055.6,27232.4,33065.1,38496.3,5043.5,10261.7,2533.5,19293,21315.7,260840.1,,6110.5
8/12/2015,11441,199032.2,310795.5,299251.5,277270.9,199461,184730.6,318559.4,395719.6,204349,254125.5,199398.4,58513.3,303471.7,176082.6,124408.3,38738.5,205287,237708.5,283341.3,142826.7,119395.3,112544.9,40589.4,6082.9,47058.3,130630.2,78766.5,304182,118002.4,454227.9,191853,22153.8,63174.4,62707,79973.9,35095.1,126750.7,36348.5,43271.8,33464.1,32682.2,4120.7,43577.3,11769,59610.8,121582,15795.2,10059.9,109506.8,19202.3,62095.7,98068.8,897.8,37651.7,13081.6,48329.1,3922.6,42339.9,36118.8,41672,62601.1,11945.3,901,20989.8,13570,13553.6,18638.7,57421.2,45498.4,15056.6,47784.6,60804,4004.8,11939.5,21395.4,6184.6,35443,8362.6,42828.9,14041.6,21209.1,NA,35427,554.8,12277.4,2501.4,31064.1,18084.2,17889.2,15082,30027.6,41399.7,36844.3,4380.8,7024.9,4929.6,27579.7,23616.7,252149.8,,14892.6
8/13/2015,12281.2,142113.5,175250.7,188925.3,187873.5,170050.6,145523.9,129530,220661.7,174505.1,124083.6,146546,48637.5,159828,108217.2,92063.3,45533.9,131153.4,112332.6,153503.5,85402.3,43295.6,50829.9,32568.4,4880.8,47609.7,91608.3,51512.5,192189.6,99719.9,90080.8,89071.1,17563.2,40139.8,51370.6,65204.1,34396.5,83638.8,11062.6,18979,13441.6,28098.2,6863,24189.3,10107.5,43699.6,59763.5,17449.6,10510.9,96835.2,11654.1,46555.4,71028.7,2317.2,28707.3,9648.2,45394.8,3032,25850.1,44590.7,34936.1,37379.3,14006.3,312.1,22353.3,11474.4,15541.2,30650.5,44789.4,38592.5,8308.6,34652.8,96361,2938.7,11156.2,13638.5,7568.8,21040.2,4888.1,24346.5,6033.8,20549.2,NA,16334.1,380.2,7787.3,11037.8,37442.2,17497.1,11723.6,19289.8,27203.5,33497.7,27060.1,4170,6202,5245.6,13193.3,28670.2,194963.1,,8248.6
8/14/2015,8328.3,87763,139893.3,136709.4,176092,97562.1,132449.4,82652.3,137045.4,88226.8,77331.9,115471.3,46095.5,133802.2,66257.4,90004.3,42396.6,85021.4,98023.9,146872.1,132367,51759.6,43627.3,29566.3,4408,18992.1,83075,34542.8,169192.3,75255.2,67183,79377.4,16525.1,32696.7,38944.4,67823.7,27561,47623.5,4380.6,21603.5,11376.4,23440.2,5155.8,22360.6,6962.3,37610.2,83171.6,16344.2,5121.2,75685.1,9305.5,22955.8,49324.1,1503.2,25417,13421.7,31351.7,1950.9,21825.2,41806.4,26495.5,36045.4,9315.3,190.2,11332,7382.2,17455.4,11934.6,39888.2,36236.4,8252.5,32331.6,79097.4,4402.9,5462.7,10215.4,6122.9,24782.8,7555.5,17932.9,5234.5,13982.8,NA,10308.4,819.5,5231.7,22053.4,16575.1,12400.1,12850.7,19797.7,42247.8,35828.4,25160.1,2861,8407.2,4741.8,19522.1,16687.3,125075.9,,7476.7
8/17/2015,6665.2,85610.1,123977.7,97013.6,133404.3,101939.4,86536.5,69421.2,159767.1,67794.7,62656.8,78063.7,37512.9,113769.2,111898.8,29871.2,19802.9,87803.2,92959.7,130549.4,59690.4,35257.8,58669.4,26770.3,3295.1,30511.8,56266.4,21244.9,137409.9,53468.9,74324.4,75769.8,13723.4,29489.2,33906,33969.5,38621.5,37337.4,9987.4,22007.4,8608.6,23307.3,4219.2,14468,4889.8,38654.4,35838.3,12382.1,4847.7,57752.7,10205.2,24131,51372.8,853.3,27549.2,23099.2,28304.9,1619.5,28333,23093.8,23114.8,32810.1,14761.3,238.4,9910.3,6096.1,21474.9,7556.8,25275.3,25289.1,12766.8,38624,44570.8,2871.3,6038.8,10525.5,7737,17226.8,4247.1,23173,5031.9,8037.4,NA,10307.1,541.9,4812.7,15958.3,12413.8,9943.5,9376.9,15547.8,27223.2,40559.1,24849.7,2163.3,3909.8,2613.5,20461.7,11286.3,111671.6,,7811.7
8/18/2015,7102.6,147566.2,150971.3,110537.9,125982.5,132048.9,84934.2,80263.4,141134,89920.3,64849.1,97894.5,41615.8,124391.4,119649.3,69173.3,21312,97662.6,89705.4,133809.1,73365.9,30659.9,37250.3,32948.9,3744.2,18365.4,60488.1,42694.1,162811.2,131911.1,57808.3,55384.3,9050.6,49481.8,48067.1,50907.7,41175.2,66804.3,5672.6,20813.8,8863,28420.5,4885.9,23615.5,4351.9,43219,47314,13902.2,6151.2,63225.2,15944,23970.1,52510.5,2561.5,54380.5,12785.2,37431.4,2978.2,47513.5,26676.4,19982.9,21730.1,18031.6,256.8,12227,8549.3,19577.1,11431,31253,31889.4,13983.5,36489,52282.9,3767,5407.1,10975.8,6406.7,31202.1,4566.2,22564.1,6206.8,12158.2,NA,15711,760.2,6077,1565.5,19979.8,25814.6,10892,18928.8,26583,48932.2,29893.9,3311,5321.1,4683.3,23455.6,21827.1,139120.6,,5050.7
8/19/2015,9499.2,113839.1,246702.9,156564.6,174463.8,146677.9,106576.8,91815.7,240765.7,108532.5,93374,169079.8,43218.4,173786.3,89609.4,86287.1,26947.8,137906.9,113384.4,129012.7,113656,37438.2,91017.9,29799.1,3890.3,24394.9,85090.5,32708.4,345281.1,117199.5,54550.1,93167.7,17185.2,51398.6,48768.7,55276.6,43958.7,52720.5,5820.3,25206.7,11236.1,24663.6,7262.1,16737.7,5828.5,33392.7,63690.3,14548.2,7463.8,85389.8,13365.6,25575.8,69255.3,574.5,49367.3,40895.9,34608.2,3548,23519.1,38235.6,17303.9,32581.5,15521.9,262.1,11428,6730.5,30027.1,10496.3,34551,33883.6,17047.3,28323.3,38339.5,2800.5,6337.2,11745.4,4397.9,20014.6,11242.9,24671.1,10285.5,25266.1,NA,14722.2,276.3,6743.1,9388.8,26008.1,19449.7,8991.2,20792.6,19781.7,41359.7,24890.2,4097,5057.5,4473,29523.1,39521.2,135815,,6742.1
8/20/2015,11598.5,125185.4,219650.4,131340.2,222360.8,144341.8,107775.7,144428,207600.1,156422.9,108041.3,155762.6,56451.2,179236.7,91143.5,65980.9,26335,131532.8,128507.9,156546.5,151839.6,41745.5,146046.2,36343.1,5514.7,20830.8,81400.1,46922.9,265948.4,119879.8,118978.9,99866.5,16341.5,60817.2,49661.1,90727.2,38141.8,56511.8,4178.2,29413.7,9948.1,30670.4,4399.6,35300.7,4980.2,42143.1,60866.4,18565.3,6156.8,65244.9,11400.4,48145.7,52162.5,927.4,33794.9,46665.8,36101.1,5043.7,24241.3,40408,39275,36084,8720.8,642.9,18739,9703.9,21715,15295.9,29812.6,38745.1,19253.7,69157.4,52978.7,4175,7839.8,14052.6,3843.6,26163,4718.2,77571,14419.2,21598.7,NA,17813.2,789.9,8794.6,9400.8,23498.2,14472,10633.7,17896.7,40106.3,38867.9,33018.3,3582.2,5330,8076,24751.9,26008,210991.5,,11780.8
8/21/2015,16529.6,166110.5,248999.6,212868.7,203341.8,174174.4,168411.6,134330,152973.8,162368.4,93121.8,195404.6,80864.4,147602.1,158812,76752.1,34769.9,165571.9,157412.9,191755.8,90070.1,46248.2,70215,33987.8,6442.1,36358.1,108364.3,83965.3,203830.5,101494.2,75104.4,126484.3,20424.8,57658.1,103061.7,66593,47760.7,73967.8,5364,23030.2,15161.1,31535.7,6738.3,40701.1,7471.9,80329.9,67548.1,20056.3,8028.3,94768,15302,57235.4,62645.4,1659.8,43106.6,33568.7,32821.4,1735.7,29966.5,53668.6,39867.3,51336.2,7479.4,704.7,20688.8,12073.4,18820,16821.3,44776.1,57771.6,20700.5,51091.9,56826,4431.2,11178.8,24690.4,5206.8,37222.5,3783.4,23272.8,14572,28663.1,NA,16317.4,681.8,18722.7,17313.7,21155.9,27908.4,13923.9,18616.6,37914.8,44654,40560.2,1835.8,5211.8,6064.6,55001,30250.5,218532.4,,9120.5
