Code,@AAPL(P),@MSFT(P),@AMZN(P),@FB(P),@GOOGL(P),@INTC(P),@PEP(P),@CSCO(P),@NFLX(P),@CMCSA(P),@NVDA(P),@ADBE(P),@COST(P),@AMGN(P),@PYPL(P),@TMUS(P),@GILD(P),@TSLA(P),@CHTR(P),@AVGO(P),@TXN(P),@SBUX(P),@MDLZ(P),@QCOM(P),@INTU(P),@VRTX(P),@FISV(P),@ADP(P),@ISRG(P),@AMD(P),@BIIB(P),@BKNG(P),@JD(P),@MU(P),@REGN(P),@ATVI(P),@CSX(P),@WBA(P),@AMAT(P),@ILMN(P),@KHC(P),@NTES(P),@ADI(P),@BIDU(P),@EA(P),@EXC(P),@ADSK(P),@LRCX(P),@XEL(P),@EBAY(P),@MAR(P),@MNST(P),@ROST(P),@CTSH(P),@MELI(P),@LULU(P),@NXPI(P),@ORLY(P),@PCAR(P),@VRSN(P),@VRSK(P),@WLTW(P),@ALXN(P),@ANSS(P),@CDNS(P),@CTXS(P),@DLTR(P),@FAST(P),@KLAC(P),@PAYX(P),@SNPS(P),@XLNX(P),@CERN(P),@CTAS(P),@CSGP(P),@IDXX(P),@MCHP(P),@SGEN(P),@SIRI(P),@WDAY(P),@ALGN(P),@BMRN(P),@CHKP(P),@INCY(P),@SWKS(P),@SPLK(P),@AAL(P),@CDW(P),@CPRT(P),@EXPE(P),@MXIM(P),@TTWO(P),@TCOM(P),@UAL(P),@NTAP(P),@ULTA(P),@WDC(P),@FOXA(P),@LBTYA(P),@GOOG(P),@ASML(P),@FOX(P),@LBTYK(P)
8/10/2015,119.72,47.33,524,94.15,663.1399,29.64,99.09,28.59,123.03,29.725,23.78,83.62,146.25,170.6,39.05,41.47,116.58,241.14,204.4016,127.28,52.08,56.27,46.41,63.15,104.99,139.63,44.42,81.6,177.4199,1.93,290.0911,1323.75,30.06,18.82,581,28.81,30.24,93.95,17.6,211.77,78.81,149.22,61.09,176.85,73.97,32.18,54.38,74.87,34.94,28.66,72.55,48.2428,53.73,68.44,123.66,63.99,99.28,247.69,63.82,71.37,77.84,122.9665,190.43,95.31,21.38,60.6256,78.11,20.285,54.15,48.1,51.75,44.13,63.21,88.34,200.28,77.47,44.42,45.7,3.95,83.25,61.7,136.23,82.59,103.94,91.03,69.4,41.68,39.29,18.255,121.49,34.64,30.94,38.785,57.15,31.5,168.36,84.96,NA,45.7799,633.73,99.42,NA,42.4613
8/11/2015,113.49,46.41,527.46,93.62,690.3,28.97,98.62,28.02,122.74,29.395,23.66,83.9,145.89,168.56,38.85,40.95,115.61,237.37,200.5418,124.21,50.64,56.35,46.1,62.55,104.62,135.87,44.025,81.33,176.6132,1.9,290.0083,1307.87,28.02,17.88,566.99,28.46,29.33,92.95,17.34,208.59,77.97,141.57,59.38,167.94,73.82,32.09,54.06,73,35.37,28.14,72.14,47.5995,53.82,67.78,123.2,64.45,96.28,247.64,62.99,70.86,77,121.6156,186.31,94.27,21.35,59.8849,77.69,19.885,53.01,47.88,51.14,43.18,62.81,87.92,198.56,77.23,43.72,45.01,3.9,83.06,61.15,136.02,81.29,104.21,88.97,68.01,42.7,39.39,18.115,121.13,33.75,30.59,36,57.87,30.71,168.51,83.19,NA,45.0209,660.78,99.19,NA,41.8974
8/12/2015,115.24,46.74,525.9099,94.19,691.47,29.46,98.38,27.9,120.51,29.705,23.72,83.82,146.49,170.62,38.19,41.36,116.25,238.17,200.2432,125.73,51.11,56.38,46.53,62.58,104.72,137.64,44.265,81.55,176.4265,1.9,291.7397,1294.71,26.77,18.19,579.25,28.66,29.52,93.36,17.3,207.36,76.69,141.2,59.74,160.82,73.72,32.69,54.82,72.61,35.72,28.01,72.27,47.3828,53.56,67.47,121.27,63.02,93.825,247.24,62.77,70.72,76.75,121.4036,191.01,94.39,21.25,60.8565,77.32,20.23,53.28,47.81,51.24,43.57,63.12,87.85,196.51,77.13,43.85,44.79,3.96,82.96,60.83,137.6,80.78,107.28,89.9,68.03,42.52,38.9,18.01,120.78,34.42,30.26,35.12,57.41,30.99,166.94,83.16,NA,44.5586,659.5601,97.08,NA,41.6024
8/13/2015,115.15,46.73,529.6599,93.43,686.51,28.87,98.79,28.7,123.73,29.82,23.52,84.31,145.27,168.58,37.62,41.23,115.2,242.51,199.7787,124.19,50.63,56.85,46.01,62.03,104.9,137.37,44.58,82.45,175.9566,1.79,289.1423,1285.47,27.05,17.7,574.1001,28.85,29.39,92.54,17.05,208.84,75.99,133.9,59,160.89,73.38,32.75,54.61,72.01,35.56,27.99,72.3,49.6862,53.63,67.94,120.24,64.5,93.65,253.92,62.67,70.62,76.88,121.4301,188.83,94.33,21.35,61.1591,77.33,20.025,51.52,48.13,51.39,43.15,62.89,88.09,195.46,77.16,43.39,45.12,3.99,82.26,60.2,135.84,80.49,107.91,89.64,68.97,42.67,38.82,18.02,120.66,33.85,30.14,36.065,58.35,30.62,169.28,81.57,NA,44.9948,656.45,94.72,NA,41.7499
8/14/2015,115.96,47,531.52,94.42,689.3701,29.02,99.23,29.03,123.39,29.44,23.54,86.12,146.09,167.72,38.14,41.23,115.6,243.15,198.8718,121.96,50.64,57.1,46.485,61.91,105.62,136.88,44.79,82.99,176.6232,1.84,287.9451,1283.8,28.12,16.95,576.3,28.68,29.62,92.1,16.64,208.07,76.42,126.04,58.84,164.24,72.82,33.08,54.86,72.71,35.8,28.26,71.85,50.1328,53.72,67.17,119.75,65.17,91.62,254.37,62.92,71.09,76.8,122.5162,186.58,94.26,21.56,61.7564,77.78,20.105,51.2,48.3,51.64,43.45,64.25,88.49,195.58,77.61,43.29,44,3.94,84.18,60.57,135.51,80.82,105.8,89.1,69.78,42.88,39.18,18.19,121.65,33.67,30.72,35.79,58.53,30.75,171.04,82.5,NA,45.3786,657.1201,92.69,NA,41.7933
8/17/2015,117.16,47.32,535.22,93.93,694.1101,29.08,99.86,28.825,125.36,30.205,23.39,86.77,146.09,169.79,38.73,42,116.42,254.99,206.7904,125.52,50.9,57.74,46.2,62.07,105.56,139.61,45.055,84.7,177.6832,1.8,291.1411,1306.56,27.33,17.22,576.76,29.3,29.68,92.7,17.03,207.91,75.8,124,59.5,167.43,73.7,33.41,55.4,74.39,35.99,28.29,72.94,50.2362,54.5,67.65,121.12,66.37,91.58,254.64,63.03,71.19,76.72,123.0725,191.22,96.51,21.8,61.9077,78.48,20.18,51.83,48.37,52.13,43.93,64.54,89.14,196.16,78.66,43.52,46.45,3.95,84.8,60.88,139.44,82.21,114.6,90.93,70.73,43.95,39.73,18.37,123.01,33.83,31.59,36.395,59.6,30.54,171.39,83.6,NA,45.9282,660.8701,93.17,NA,42.2357
8/18/2015,116.5,47.27,535.02,95.17,688.73,28.91,99.77,28.25,124.05,29.845,23.08,86.45,145.63,167.72,37.99,42.04,117.06,260.72,208.8143,122.24,49.91,57.83,46.15,61.32,105.72,139.76,45.14,84.69,176.5665,1.8,287.5027,1291.83,26.62,16.38,569.6699,29.22,29.62,91.94,16.53,207,75.19,122.49,57.9,166.11,73.85,33.6,54.59,72.27,35.91,27.77,72.38,50.1728,56.53,67.84,117.93,66.7,88.34,254.45,62.94,70.93,77.23,122.9401,187.42,97.06,21.62,62.1864,79.37,20.36,50.19,48.45,51.98,42.96,65.6,88.86,193.68,78.4,42.93,45.51,3.935,82.58,60.52,137.23,82.54,113.97,85.7,69.92,43.63,39.45,18.25,123.32,33.13,31.11,34.64,58.51,30.28,173.32,83.31,NA,45.7537,656.1299,92.85,NA,42.0275
8/19/2015,115.01,46.61,532.9199,95.31,694.04,28.36,98.99,27.8,122.06,29.96,22.99,85.48,145.17,166.57,37.19,41.86,116.21,255.25,208.1397,121.45,49.2,57.59,45.21,61.18,106.27,141.48,44.9,84.47,175.5399,1.8,290.9019,1291.35,26.78,15.9,568.9099,28.98,28.92,91.41,16.44,205.65,74.78,122.08,58.38,162.89,71.61,34.18,54.32,72.41,36.32,27.43,71.91,49.0828,55.7,67.03,113.89,65.36,87.01,256.47,62.48,70.58,77.65,121.6685,184.96,96.15,21.63,61.8121,80.92,20.17,50.01,48.01,52.3,42.5,65,87.64,192.14,78.21,42.68,44.76,3.9,82.38,59.73,135.7,81.14,112.4,87.23,68.78,43.53,39.45,18.055,123.14,32.91,30.35,34.065,58.23,29.78,172.62,81.71,NA,45.396,660.8999,90.92,NA,41.7152
8/20/2015,112.65,45.66,515.78,90.56,679.48,27.53,97.98,27.04,112.49,29.185,22.16,82.69,143.71,161.15,35.98,40.74,112.39,242.18,202.1012,115.03,47.43,55.81,44,60.15,102.93,132.91,44.21,82.71,171.4065,1.7,285.4487,1257.54,24.9,14.74,546.6499,27.98,28.36,89.77,15.98,200.43,74.25,119.73,53.82,157.4,67.71,33.8,53.1,71.02,36.01,26.52,70,48.1995,55.25,65.7,107.88,62.96,82.02,251.32,60.82,69.15,75.36,120.503,178.62,93.24,20.47,60.4105,80.38,19.69,48.44,47.3,48.6,41.26,63.27,86.6,188.1,75.83,41.53,42.81,3.8,77.02,58.02,129.01,79.89,107.52,82.44,64.39,41.98,38.66,17.66,118.7,32,29.38,32.305,56.59,30.78,171.3,79.79,NA,43.9392,646.8301,87.44,NA,40.5873
8/21/2015,105.76,43.07,494.47,86.06,644.03,26.56,96.25,26.47,103.96,28.39,21.47,78.87,138.99,155.19,34.25,40.13,105.33,230.77,196.3392,111.45,45.96,52.84,43.2,57.61,89.28,125.47,42.435,79.23,168.9466,1.78,272.3137,1216.92,25.05,14.53,527.1799,27.22,27.38,85.61,15.48,199.95,72.27,114.19,53.78,152.91,65.53,33,51.76,69.75,35.56,25.77,69.33,46.3029,50,62.85,106.54,61.95,80.33,238.17,58.44,67.81,73.92,118.2248,173.81,90.92,19.8,58.8577,76.35,19.59,47.7,45.69,47.52,40.4,61.72,84.87,181.61,74.2,40.84,41.17,3.72,71.84,56.45,126.17,76.9,104.31,79.07,62.13,39.75,38.25,17.295,114.51,31.49,28.88,31.635,55.09,30.21,162.57,79.44,NA,42.2557,612.48,85.91,NA,39.2598
