Code,@AAPL(VA),@MSFT(VA),@AMZN(VA),@FB(VA),@GOOGL(VA),@INTC(VA),@PEP(VA),@CSCO(VA),@NFLX(VA),@CMCSA(VA),@NVDA(VA),@ADBE(VA),@COST(VA),@AMGN(VA),@PYPL(VA),@TMUS(VA),@GILD(VA),@TSLA(VA),@CHTR(VA),@AVGO(VA),@TXN(VA),@SBUX(VA),@MDLZ(VA),@QCOM(VA),@INTU(VA),@VRTX(VA),@FISV(VA),@ADP(VA),@ISRG(VA),@AMD(VA),@BIIB(VA),@BKNG(VA),@JD(VA),@MU(VA),@REGN(VA),@ATVI(VA),@CSX(VA),@WBA(VA),@AMAT(VA),@ILMN(VA),@KHC(VA),@NTES(VA),@ADI(VA),@BIDU(VA),@EA(VA),@EXC(VA),@ADSK(VA),@LRCX(VA),@XEL(VA),@EBAY(VA),@MAR(VA),@MNST(VA),@ROST(VA),@CTSH(VA),@MELI(VA),@LULU(VA),@NXPI(VA),@ORLY(VA),@PCAR(VA),@VRSN(VA),@VRSK(VA),@WLTW(VA),@ALXN(VA),@ANSS(VA),@CDNS(VA),@CTXS(VA),@DLTR(VA),@FAST(VA),@KLAC(VA),@PAYX(VA),@SNPS(VA),@XLNX(VA),@CERN(VA),@CTAS(VA),@CSGP(VA),@IDXX(VA),@MCHP(VA),@SGEN(VA),@SIRI(VA),@WDAY(VA),@ALGN(VA),@BMRN(VA),@CHKP(VA),@INCY(VA),@SWKS(VA),@SPLK(VA),@AAL(VA),@CDW(VA),@CPRT(VA),@EXPE(VA),@MXIM(VA),@TTWO(VA),@TCOM(VA),@UAL(VA),@NTAP(VA),@ULTA(VA),@WDC(VA),@FOXA(VA),@LBTYA(VA),@GOOG(VA),@ASML(VA),@FOX(VA),@LBTYK(VA)
8/10/2015,6529388,1091697,1377808,2041611,1154293,673303.1,471612.4,677299.8,1657584,663157.9,389404.8,167241.4,156988.3,468519.6,313095.3,31312.6,905326.1,1002620,193185.7,364874.3,545855.6,678044.7,487231.1,1112465,146267.6,235712.8,86906,165780.6,151931.4,57054.7,773648.1,728716.7,641118.8,470557.3,374835.6,173600.3,189283.1,227457.9,255420.1,485190.9,256651.9,110662.4,119257.6,539697.8,211016.6,46213.4,75448.1,154536.9,98600.5,206319.1,129533,263496.4,97291,212770.7,40139.9,104004.9,257041.9,156372.9,124237.2,41819.9,51235.4,10264.7,154903.3,31202.7,44826.2,96183.5,83106.3,100961.6,96057.4,66900.8,58552.3,182084.6,188117.5,41350.4,23366.7,75093.6,82127.1,39462.5,78630.9,10075.9,29981.7,161032.2,110731.4,110136.1,412358.1,84134.3,287413.4,48570.2,7104.8,120758.6,65405.1,116494.1,140818.6,34398.7,89279.2,96483.3,138069.9,NA,63706.4,1157887,76774.9,NA,82791.9
8/11/2015,11171090,1355700,1407018,2106631,3812700,691044.4,352740.1,712707.7,1411676,972803.5,257676.3,260335.3,183630.6,492702.1,319292.7,116599.3,758838.9,1008651,161187.2,332425.4,407290.4,451662.9,446383.2,855746.7,138249.7,200583.4,73507.1,157800.9,99002.8,14196.7,583784.9,671432.1,693058.8,413247.4,434470.4,179167.4,379863.3,279006.2,348778.9,243190.4,305214.3,145450.8,123376.8,889738.9,180737.9,205306.3,88694.4,149118,115367.8,280639.9,138926.5,173214.1,91068.6,219976.6,60134,97561.2,346650.1,122482.4,148110.1,107499.6,47983.6,42928.4,263069.8,24354.7,79648.9,119939.3,140917.4,95470,64312.4,103017,21442,197275.9,208632.4,33082.9,26650.7,50306.5,118654.4,25915.9,96299.2,76520.8,30047.8,115387.1,106961.4,96261.9,426168.1,89936.6,444452.8,39875.2,5409.5,123219.6,92757.9,143791.4,311035.9,257959.2,60593.5,93772.4,208061.4,NA,118613.3,3339868,63558.2,NA,118462.7
8/12/2015,11482050,1399463,2090900,2514882,2017952,982125.4,370415.6,1172939,1672111,843396.9,227032.7,184344.5,285243.1,756991.3,810026.8,114520.8,807600.6,884448.5,209951.8,337788.9,382085.8,562001.6,472770.8,789729.4,100397.2,157755.8,123005.6,151712.8,151513,16135.7,617615.7,995016,851850.1,367749.3,488691.5,233965.6,254466.3,330848.5,252174,287813.9,283698.1,186550.2,125875.6,1646833,211272.4,311355.4,126781.7,179464.1,139184.6,308536.5,196754.6,175694.8,88413.1,222138.1,50215.4,130988.1,744412.1,121907.6,137576.9,99288.1,40741,32373,340547.7,36423.2,39556.7,255527.3,114449.3,88811,76636.5,92014.8,24022.3,147021.3,183297.3,44395.8,20924,35701.3,103664.8,31289.6,171563.4,94523.2,26064,131634.4,85072.1,180751.7,373165.8,96839.5,435529.3,30586.3,8096.8,155071.1,120280.1,52391.3,366365.1,273084.4,89557.3,111855.4,240016.6,NA,98457.6,1934800,106412.6,NA,112495.4
8/13/2015,5610043,1058740,1539176,1640143,1250914,547596.8,413589.7,1770632,1882859,830300.8,163731.6,165581.1,162556.8,321557.7,297638.4,144157.2,734826.8,1137695,174084.1,182267.8,203652.3,383103.2,689594.6,584767.4,80345.2,175541.2,67828.7,164906.7,92225.2,14428.7,416467.4,531404.9,336931.4,276236.8,299247.9,211625.9,132655.1,323056.4,295363.6,280526.5,222578.5,229696.2,112118.8,757666.3,146315.3,174819.6,102381.5,138245.6,85650.9,207567.6,110794.5,295932.6,139994.9,190316.2,66815.2,84810.3,341692.3,248227.8,66195.5,39988.1,33136,28171.2,186220.5,30957.3,32199,176960.3,137463,43642.3,60279,86990.8,24047.9,122089.4,162123,43931.2,27850.2,27856.7,72041.1,26497.8,84514.9,48339.1,30805.1,90751.7,56855.8,100194.6,240862.1,57326.1,283244.6,191494.8,23668.9,94806.9,90879.9,43436.8,236983.4,194234.1,61712.7,97002,152078.5,NA,60229.3,1193995,85557.8,NA,81388.7
8/14/2015,4949758,1006415,1060919,1501909,950334.2,413769.5,334418.3,720739.7,1072338,818565.6,126292,223759.8,176479.6,453842.1,237736.4,87624.8,637581.1,1066839,161764.9,324112.6,229244.1,273649.9,442094.4,570921,81105.4,130194.2,51269.8,167250.6,65149.4,11313.9,626297.1,782403.7,281769.1,642102,282820.1,74414.7,98249.4,260916.8,704365.3,142185.8,195483.1,154548.9,94832.6,831096.2,159415.3,143423.1,59707.3,277841.4,55959.9,204401.3,97141.5,175088.3,145928.9,205434.8,21064.9,77671.6,290299.2,118596.8,66487.4,41956,33102.9,23475.5,164194.6,44220.6,36221.8,117055.1,103234.2,46116.9,64817.2,60793.6,35129.8,160949,229599.3,36766.2,20546.9,25315.8,77870.1,35242.7,110140.5,103308.5,20562.8,100978.8,55495.7,82529.5,250261.8,60413,208330.3,58316,6583.7,110031.4,47737.4,43125.4,84722.3,139908.1,74020.6,81679.2,101178,NA,96001.1,704166.8,221397.6,NA,108004.9
8/17/2015,4781361,994922.6,1378026,1717910,851757.1,451167.3,324239.8,612512.9,1152831,805381.1,159666.5,154251.1,133096.9,336084.3,189312.4,160886,828390.8,1819583,258124.3,263884.7,170759.3,331549.9,430755.3,715381.8,91851.4,113174.8,64464.5,283131.1,81973.4,16554.5,506557.9,673693.6,289707.7,556622.1,255971.3,171443.8,162302.3,173213.9,246531.4,335940.8,171587.5,148190.9,83232.7,559649.6,193722.1,187861.5,57729.3,146526.6,100275.2,266019.3,94158.9,120819,114689.8,180280.1,44156.5,112845.7,366052.8,86976.1,74185.2,43127.5,37939.3,26678.7,185714,49354.3,34495.2,70926.3,89327.4,46526.7,50917,77604.3,50989.3,80851,152272.4,33383.8,18902.2,46439.3,74923.9,33264.2,55001.3,64221.2,42452.6,98005.5,92841.1,257614.7,232411.4,45793.5,366487.6,52960.1,9480.5,96386.7,71204,62221.1,73251.6,230868.1,104793.1,93124.4,134673.9,NA,86926.7,690940.1,238230.5,NA,123409
8/18/2015,4034156,1111714,1110378,2120407,955339,554440.6,457848.6,912289.1,1167787,641465.5,165499.8,126860.9,160012,382454.5,178854.6,98580.4,694575.2,1081685,239636.5,239445.6,348543.1,322514.4,476572.8,654580.2,88147.3,132823.1,43610.2,221589.7,77407.4,17385.5,380135,553490.6,210197,534792.5,333376,126184.4,134635.8,313436.6,254190.6,212175,151193.4,178340.3,269064.6,686166.6,207941,229817.9,66525.3,143183.1,86668.3,302377.4,77840.6,119865,225866.2,136111.8,38582,114106.9,416772.9,94831,86309.9,37037.6,45476.2,28547.5,208427.8,46652.8,39850.9,90656.5,95607,61025.2,76094.4,52282.7,36487.9,91213.1,162826.1,43648.1,18107.6,39648.8,90988.6,49203,66555.1,80569.9,23386.7,76588.9,86588.8,184080.2,505970.1,56842.3,276317.3,28390.1,5736.9,116307.6,63359.6,50314.9,175461.5,225109.8,101278.8,178496.3,141036.5,NA,56501.9,957342.7,240503.8,NA,89073.3
8/19/2015,5572542,1469433,1238590,2211865,1740886,869124,386748.1,837620,1239258,963609.8,143042.3,211041.4,208160.4,521403.9,258932.4,87077.7,872346.2,927897,276064.4,373943.6,341299.1,347860.8,573283.4,708887.2,197675.6,187969.4,63956.7,158343.3,143407.1,13295.3,576992.3,609461.1,266520.9,592867.5,271197.6,144302.6,186194.1,287462.4,230062.6,215803.3,225799.3,76793.9,562205.3,937397.3,228482.4,357464.7,74174.4,138202.2,138465.7,311151.9,140846.4,185199.6,142851.8,207736.6,79578.3,91034.8,461409.6,121361.9,118232.9,50257.2,64662.6,27336.8,241451.8,32269.6,48389.4,62325.6,242230.8,69009.9,48312.8,72937.8,42729.5,112892.4,180719.4,45795.8,32573.9,39673.2,104685.6,24619.8,77962.8,67930.5,43462.5,80912,45714.5,123076.8,487720.1,59181.8,366028.9,32501.5,7453.1,99358.1,58410.1,34226.9,129749.7,223270.8,198886.9,127871.1,202949.2,NA,55109.2,1409676,147901.2,NA,82645.6
8/20/2015,7723700,1663566,2304607,4109220,1974990,888023.5,388779.9,1031557,3205863,1099638,238548.3,259438.1,257020.3,569224.5,387252.8,93190.4,1047224,1210142,310923.9,489416.8,488812.9,420561.7,758781.3,798514.8,156427,254340.1,90738.8,189246.6,121645,23813.5,597405.9,881656.2,308112.1,821563.2,437798.4,166324.3,210202.1,307396.8,208036.5,228040.3,164135.4,116370.5,326189.4,854503.6,345648.1,242949.4,141189.7,184287.9,88188.9,422954.6,196280.8,148309.4,206391.1,279512.6,58894.9,106398.6,588892.2,139022.1,126834.7,78765.3,52158.7,39996.2,242014.9,36362.5,46895.1,86135.8,201664.3,84715.8,65989.1,73357.7,75829.1,104576.7,114255,49025.2,25763.3,42598.3,99163.3,35209.7,132611.6,172494.5,31649.4,145169.9,91413.1,149528.6,458867.8,128610.3,377926.1,33827.7,10747.3,144425.9,104235.7,43364.2,316094,236968.9,439656.4,143879.1,158782.9,NA,87292.8,1856636,172350.8,NA,161731.1
8/21/2015,13890240,3089936,3372379,5480672,3017646,1414761,727920.3,1304699,3523413,1351509,208526.3,544759.3,508440.7,983870.6,585403.8,99105.8,2454631,1553156,336358.9,636961.1,833544.3,1080557,792067.9,1155959,787993.2,321838.9,153926.1,249443.6,177590.4,21862.8,1106532,1480211,412372.6,648191.9,809265.1,230222,276225.3,703436.6,305203.3,370303.8,406307.3,141287.3,319270.4,985559.1,356142.6,386729.7,176459.7,205892.5,132850.3,509358.2,298701.5,237173.3,654520.9,316053.4,84430.2,129607.6,511871.4,304879.4,208158.4,78003.1,77506.9,69167,394859.2,49760.9,49639.9,138520.3,308035.4,173111,88025.5,132730.3,70299,470881.7,183426.3,61069.9,22861.4,52026.1,132365.1,71752,154740.5,299478.5,38280.7,175161.4,125163.8,139457.4,582207,165568.2,655194.3,74367.9,14918,230262.4,102702.8,66043.1,195667.3,371423.4,217002.4,297019.4,301018.1,NA,131126.6,2667274,214294.9,NA,169809.3
