Code,J:TYMO(P)~U$,J:TTMO(P)~U$,J:SFTB(P)~U$,J:NTT(P)~U$,J:SO@N(P)~U$,J:CP@N(P)~U$,J:DDIC(P)~U$,J:TA@N(P)~U$,J:D@SA(P)~U$,J:MITF(P)~U$,J:RETA(P)~U$,J:HO@N(P)~U$,J:RHCL(P)~U$,J:UC@N(P)~U$,J:KA@N(P)~U$,J:ABOT(P)~U$,J:SMFI(P)~U$,J:DA@N(P)~U$,J:RG@N(P)~U$,J:YP@N(P)~U$,J:JRCE(P)~U$,J:JPHC(P)~U$,J:ITCN(P)~U$,J:ZJ@N(P)~U$,J:SEVI(P)~U$,J:MIHO(P)~U$,J:CN@N(P)~U$,J:EAJR(P)~U$,J:DU@N(P)~U$,J:HC@N(P)~U$,J:UM@N(P)~U$,J:MIZH(P)~U$,J:SHDO(P)~U$,J:DE@N(P)~U$,J:FP@N(P)~U$,J:SNET(P)~U$,J:TERU(P)~U$,J:BR@N(P)~U$,J:ES@N(P)~U$,J:ME@N(P)~U$,J:MT@N(P)~U$,J:OTHD(P)~U$,J:FT@N(P)~U$,J:CQ@N(P)~U$,J:OLYC(P)~U$,J:KP@N(P)~U$,J:JT@N(P)~U$,J:KB@N(P)~U$,J:KM@N(P)~U$,J:NM@N(P)~U$,J:MI@N(P)~U$,J:YHOO(P)~U$,J:ASBR(P)~U$,J:DALF(P)~U$,J:DH@N(P)~U$,J:MIFU(P)~U$,J:MSAD(P)~U$,J:NR@N(P)~U$,J:SQ@N(P)~U$,J:FJ@N(P)~U$,J:IX@N(P)~U$,J:JXHO(P)~U$,J:KU@N(P)~U$,J:KH@N(P)~U$,J:COMM(P)~U$,J:RAKT(P)~U$,J:NKSJ(P)~U$,J:UJ@N(P)~U$,J:CK@N(P)~U$,J:WJR(P)~U$,J:AB@N(P)~U$,J:AJ@N(P)~U$,J:AC@N(P)~U$,J:N@MB(P)~U$,J:CL@N(P)~U$,J:KE@N(P)~U$,J:MEJH(P)~U$,J:NJ@N(P)~U$,J:NSSM(P)~U$,J:OMRN(P)~U$,J:SE@N(P)~U$,J:SUEL(P)~U$,J:SMTH(P)~U$,J:TD@N(P)~U$,J:TZ@N(P)~U$,J:JR@N(P)~U$,J:ANAW(P)~U$,J:DP@N(P)~U$,J:FAMA(P)~U$,J:IDKO(P)~U$,J:INPX(P)~U$,J:KTEL(P)~U$,J:KN@N(P)~U$,J:MRBU(P)~U$,J:IA@N(P)~U$,J:MCHC(P)~U$,J:MH@N(P)~U$,J:IF@N(P)~U$,J:VF@N(P)~U$,J:OQ@N(P)~U$,J:DBHI(P)~U$,J:SFH(P)~U$,J:EM@N(P)~U$,J:TC@N(P)~U$,J:RY@N(P)~U$,J:TRAY(P)~U$,J:TYTS(P)~U$,J:REND(P)~U$,J:IN@N(P)~U$,J:OJ@N(P)~U$,J:YE@N(P)~U$,J:AG@N(P)~U$,J:AL@N(P)~U$,J:AM@N(P)~U$,J:AOZR(P)~U$,J:CC@N(P)~U$,J:CHBK(P)~U$,J:CHOC(P)~U$,J:CONF(P)~U$,J:SECR(P)~U$,J:CYBA(P)~U$,J:DS@N(P)~U$,J:DENA(P)~U$,J:EC@N(P)~U$,J:DENN(P)~U$,J:EQ@N(P)~U$,J:DM@N(P)~U$,J:EB@N(P)~U$,J:FECL(P)~U$,J:FUKU(P)~U$,J:FU@N(P)~U$,J:GSYU(P)~U$,J:AQ@N(P)~U$,J:OM@N(P)~U$,J:HTCM(P)~U$,J:IH@N(P)~U$,J:ZW@N(P)~U$,J:IM@N(P)~U$,J:MZYA(P)~U$,J:JFEH(P)~U$,J:JGCC(P)~U$,J:OE@N(P)~U$,J:KC@N(P)~U$,J:KW@N(P)~U$,J:KK@N(P)~U$,J:KSER(P)~U$,J:BS@N(P)~U$,J:KONA(P)~U$,J:KONM(P)~U$,J:RK@N(P)~U$,J:MNIC(P)~U$,J:UI@N(P)~U$,J:MASU(P)~U$,J:KO@N(P)~U$,J:JZ@N(P)~U$,J:LM@N(P)~U$,J:MMOT(P)~U$,J:PC@N(P)~U$,J:MO@N(P)~U$,J:KI@N(P)~U$,J:FY@N(P)~U$,J:RZ@N(P)~U$,J:OU@N(P)~U$,J:LO@N(P)~U$,J:NX@N(P)~U$,J:NU@N(P)~U$,J:NPIC(P)~U$,J:NS@N(P)~U$,J:NY@N(P)~U$,J:NH@N(P)~U$,J:BO@N(P)~U$,J:NIBO(P)~U$,J:NSKC(P)~U$,J:OB@N(P)~U$,J:OJIH(P)~U$,J:OUMA(P)~U$,J:RH@N(P)~U$,J:PB@N(P)~U$,J:EP@N(P)~U$,J:SEEP(P)~U$,J:SZ@N(P)~U$,J:SHBA(P)~U$,J:ZB@N(P)~U$,J:SW@N(P)~U$,J:SKYP(P)~U$,J:NIIW(P)~U$,J:UMCO(P)~U$,J:SC@N(P)~U$,J:DPPH(P)~U$,J:OZ@N(P)~U$,J:ZC@N(P)~U$,J:TADH(P)~U$,J:OC@N(P)~U$,J:GO@N(P)~U$,J:TU@N(P)~U$,J:TKOS(P)~U$,J:TJ@N(P)~U$,J:TOHO(P)~U$,J:EL@N(P)~U$,J:TOSO(P)~U$,J:TE@N(P)~U$,J:JQ@N(P)~U$,J:TFUD(P)~U$,J:PT@N(P)~U$,J:TSHC(P)~U$,J:TOTO(P)~U$,J:TOYS(P)~U$,J:UBEI(P)~U$,J:YM@N(P)~U$,J:XE@N(P)~U$,J:YORU(P)~U$,J:CW@N(P)~U$,J:GG@N(P)~U$,J:HTZZ(P)~U$,J:JW@N(P)~U$,J:MISH(P)~U$,J:MG@N(P)~U$,J:NIPM(P)~U$,J:SG@N(P)~U$,J:NTN(P)~U$,J:OK@N(P)~U$,J:FZ@N(P)~U$,J:GC@N(P)~U$,J:TOBO(P)~U$,J:UNIT(P)~U$
8/10/2015,65.4,22.49,30.55,19.99,26.97,39.15,26.79,51.52,21.44,7.14,454.05,35.27,10.68,60.55,52.93,38.44,45.65,69.29,53.25,15.71,180.04,NA,12.66,19.59,47.38,43.28,32.27,100.02,173.46,31.57,10.76,2.15,26.53,48.84,39.96,11.95,14.41,37.19,68.79,22.94,13.21,37.99,50.92,51.67,9.86,67.67,15.44,14.72,18.47,7.06,11.64,4.5,35.18,20.28,26.24,29.67,33.65,9.64,41.84,36.91,37.02,4.09,16.69,16.21,9.6,15.69,36.47,11.41,35.88,73.93,8.61,22.78,8.05,23.53,16.3,13.6,83.16,32.68,22.98,39.07,15.06,15.14,47.16,66.49,28.41,15.37,31.85,22.25,12.31,17.92,10.58,41.88,34.25,5.77,14.74,6.15,51.97,70.15,20.4,21.11,5.67,19.22,25.77,32.72,23.89,8.65,23.99,37.7,24.13,22.47,12.01,31.72,30.96,9.82,37.66,20.79,8.24,14.13,NA,20.64,22.2,7.53,19.55,22.41,56.37,24.57,48.91,20.72,21.88,27.38,17.35,20.04,12.95,12.66,16.43,34.93,17.91,13.91,18.65,18.41,16.06,16.5,11.45,42,23.45,26.02,15.66,20.37,11.52,12.35,15.61,12.76,8.95,19.67,26.03,34.37,8.56,17.87,31.08,24.97,47.67,13.62,12.79,24.89,54.29,9.85,17.32,3.49,28.83,23.71,14.7,11.73,12.93,8.32,4.65,44.21,9.42,19.8,26.86,17.63,9.36,22.73,12.03,12.61,5.04,2.23,10.17,5.05,12.26,24.41,40.55,15.52,33.57,13.01,7.72,18.61,17.43,25.22,2.88,8.63,6.67,13.68,7.67,17.44,9.96,34.88,17.32,18.95,22.07,12.22,20.82,6.64,5.36,5.25,17.91,16.54,22.81,1.61,9.24,6.04,20.16,29.31,30.19,14.86,5.14
8/11/2015,65.06,22.37,30.67,19.73,27.67,38.89,26.41,51.43,21.19,7.14,444.95,35.2,10.44,60.29,51.48,37.86,45.37,68.57,53.45,15.55,179.1,NA,12.66,19.62,46.51,42.4,32.22,99,172.41,31.12,10.83,2.14,25.18,48.44,39.89,11.8,14.26,36.6,68.03,22.71,13.18,37.9,51.78,51.76,9.81,66.65,15.22,14.67,18.77,7.07,11.76,4.53,34.86,20.47,26.9,29.72,32.78,9.56,40.45,36.86,36.46,4.14,16.86,16.12,9.56,15.38,35.5,11.27,36.57,72.13,8.75,22.31,8.1,23.75,15.94,12.93,79.18,32.52,23.47,39.17,15.79,15.11,46.91,66.4,28.04,15.38,31.33,22.04,12.01,18.41,10.65,41.21,33.64,5.84,14.68,6.18,52.02,69.31,20.06,21.09,5.61,19.07,26.71,32.48,23.67,8.7,23.97,37.41,23.75,21.82,12.33,31.88,31.08,9.91,37.41,20.53,8.14,14,NA,20.55,22.23,7.51,19.64,22.75,57.19,24.59,49.46,20.83,22.19,27.31,17.46,20.27,13,12.64,16.32,35.08,17.2,13.74,17.99,18.92,16.52,16.42,11.21,42.69,23.39,25.86,15.86,20.75,11.52,12.48,15.52,12.46,8.95,19.6,25.92,35.48,8.75,17.7,30.92,24.63,46.46,13.22,12.93,24.91,52.95,9.84,17,3.36,29,23.52,14.42,11.73,13.03,8.32,4.58,44.58,9.31,19.98,26.39,17.41,9.32,22.51,11.92,12.66,5.01,2.25,11.01,5.09,12.18,24.75,40.45,15.53,32.92,13.17,7.65,18.44,17.5,24.87,2.89,8.69,6.68,13.81,7.83,17.19,10.11,33.8,17.21,19.22,21.95,12.58,20.23,6.7,5.43,5.2,18.5,16.74,22.83,1.65,9.29,6.05,20.1,29.64,30.36,15.06,5.21
8/12/2015,64.48,22.66,31.03,20.2,26.99,38.3,26.72,52.07,21.34,7.1,435.92,34.7,10.52,60.21,49.96,37.61,44.79,67.12,51.62,15.6,179.13,NA,12.33,19.39,46.66,43.08,32.38,99.46,169.44,31.06,10.83,2.12,24.03,48.17,39.94,11.88,14.13,36.52,67.92,23.07,13.21,37.62,51.41,51.21,9.96,65.4,15.16,14.72,18.37,7.03,11.5,4.52,35.07,20.09,26.74,29.87,33.19,9.43,40.85,37.04,35.9,4.12,17.16,16.36,9.48,15.02,35.03,11.14,36.63,71.9,8.53,21.85,8.13,24.09,15.95,13.27,78.18,33.02,22.81,39.07,16.03,15,46.76,65.47,27.93,15.42,31.43,22,12.13,17.99,10.39,41.37,32.94,5.85,14.69,6.07,51.99,68.11,19.89,21.19,5.54,19.1,26.03,33.1,23.77,8.75,23.9,37.05,23.4,21.48,12.16,31.97,30.23,9.8,37.7,20.3,8.14,14.07,NA,20.75,21.8,7.41,19.01,22.52,54.81,24.86,47.99,20.95,22.48,27.61,17.44,20.18,13.15,12.42,15.98,34.79,16.47,13.36,17.39,17.73,16.41,16.02,11.3,42.62,23.33,25.19,15.02,20.8,11.45,12.5,15.45,12.52,8.87,19.5,26.07,34.71,8.57,17.6,30.84,24.11,47.76,12.72,12.95,24.66,52.96,9.91,16.99,3.37,28.9,23.02,14.17,11.62,12.81,8.41,4.56,43.15,9.4,20.26,24.86,17.44,9.37,22.68,12,12.51,4.96,2.2,10.83,5.07,12.12,24.54,40.52,15.25,33.26,13.04,7.56,18.15,17.36,25.11,2.83,8.64,6.89,13.85,7.68,17.18,9.91,32.87,17.2,19.05,20.97,12.5,20.17,6.87,5.29,5.21,17.92,16.71,22.36,1.61,9.28,5.95,20.1,29.63,29.14,14.77,5.65
8/13/2015,63.81,22.43,30.1,20.02,27.05,40.06,26.45,52.24,21.49,6.96,446.06,34.62,10.35,59.46,50.37,37.08,43.53,67.1,53,15.56,179.03,NA,12.27,19.51,46.99,43.3,32.44,98.64,169.87,30.6,11.1,2.09,24.39,48.13,40.03,12.19,14.32,35.98,69.14,22.95,13.26,37.43,51.24,51.47,9.93,65.71,15.36,14.67,18.47,6.86,11.43,4.49,35.09,19.63,26.15,29.9,34.18,9.39,41.46,36.82,35.94,4.07,17.01,17.29,9.55,14.97,35.15,10.96,36.68,72.92,8.58,22.07,8.35,23.37,16.29,13.52,81.04,32.95,22.71,38.57,15.95,14.99,46.02,66.86,28.1,15.28,31.34,21.95,12.01,18.09,10.46,40.82,33.55,5.92,14.69,6,52.89,69.52,19.85,21.1,5.38,19.73,26.21,33.63,23.71,8.86,24.1,38.81,23.99,21.33,12.33,32.3,30.42,9.89,37.21,20.03,8.05,14.22,NA,21.13,21.42,7.38,18.84,22.58,54.88,24.91,48.46,21.13,22.38,27.44,17.2,19.89,13.17,12.21,16.06,34.47,16.84,13.26,17.63,17.74,16.85,16.22,11.35,42.59,23.46,24.73,14.95,21.05,11.42,12.53,15.49,12.75,8.89,19.37,26.6,34.87,8.34,17.68,30.94,23.84,48.78,13.1,13.06,24.63,53.76,10,16.96,3.37,29.25,23.59,14.44,11.76,13.15,8.45,4.56,43.79,9.36,20.45,25.59,17.38,9.59,22.26,11.95,12.46,4.95,2.2,10.98,5.01,12.31,24.71,40.9,15.22,33.83,13.36,7.61,18.29,17.04,25.11,2.81,8.72,7.18,13.67,7.54,17.1,9.92,32.79,17.44,19.29,20.85,12.54,20.28,7.1,5.38,5.1,17.84,16.55,22.42,1.59,9.48,5.96,20.09,28.77,28.69,15.11,5.54
8/14/2015,63.92,22.1,30.54,19.77,27.08,39.82,26.44,52.29,21.27,6.95,442.42,33.79,10.54,58.98,50.46,37.38,43.6,66.01,51.55,15.6,178.89,NA,12.27,19.27,47,43.28,32.31,99.2,167.54,30.57,11.03,2.07,24.95,48.1,41.01,12.25,14.44,35.87,69,23.49,13.1,37.18,50.74,51.48,9.84,65.68,15.37,14.69,18.41,6.83,11.25,4.49,34.94,19.48,25.99,30.69,33.96,9.36,41.11,37.49,35.8,4.01,16.38,17.1,9.53,14.82,35.07,10.93,37.35,72.91,8.62,22.14,8.32,23.29,16.21,13.7,80.7,32.58,22.25,38.46,15.92,14.97,46.2,66.7,28.13,15.17,31.59,21.81,12.01,17.86,10.28,40.43,33.35,5.87,14.4,6.01,51.7,70.68,19.71,21.12,5.38,19.52,25.94,33.71,23.53,8.87,23.87,38.42,24.18,20.69,12.16,33.31,30.17,9.52,37.17,20.11,8.01,13.67,NA,20.79,21.72,7.32,18.91,22.65,55.51,24.86,48.19,21.28,22.29,27.23,17.3,19.95,13.03,12.13,15.88,34.11,16.98,13.15,17.8,17.19,16.89,15.96,11.41,42.16,23.33,24.76,14.8,21.21,11.4,12.48,15.48,12.73,8.81,19.26,26.08,34.51,8.47,17.78,30.25,23.54,48.24,12.71,13.39,24.62,53.18,9.99,17.67,3.37,29.12,23.35,14.39,11.7,13.6,8.47,4.75,42.48,9.28,20.64,25.62,17.23,9.61,22.04,11.96,12.31,4.89,2.2,10.66,5.05,12.34,24.26,41.59,14.81,32.99,13.52,7.47,18.39,16.49,25.3,2.73,8.57,7.1,14.13,7.57,16.99,9.83,32.66,17.54,19.07,20.61,12.52,20.38,7.29,5.41,5.07,17.66,16.41,22.37,1.59,9.41,5.81,19.95,28.48,28.72,15.13,5.39
8/17/2015,63.77,22.09,30.18,20.02,26.72,40.44,26.08,52.45,21.49,6.95,446.23,33.85,10.64,59.86,50.12,37.96,43.64,65.6,52.23,15.62,180.06,NA,12.41,19.41,47.08,43.45,32.28,100.5,168.04,30.47,10.84,2.08,24.55,48.76,41.91,12.34,14.49,36.23,70.01,23.26,13.17,37.57,50.65,52.17,9.83,65.58,15.6,14.76,18.22,6.83,11.38,4.48,35.04,19.49,26.54,30.5,34.99,9.34,42.37,37.83,36.2,4,16.65,17.71,9.55,14.88,35.57,11.01,36.97,73.17,8.68,22.27,8.37,23.24,16.41,13.9,82.61,32.88,22.32,38.71,15.98,15.1,45.65,66.65,28.34,15.41,31.52,21.95,12.08,17.73,10.21,41.05,35.02,5.87,14.15,6.09,51.71,70.83,19.92,21.21,5.38,19.56,26.19,34.05,23.76,9.02,24.11,37.63,24.76,20.85,12.12,33.81,30.35,9.58,36.98,20.38,8.06,13.25,NA,20.52,22.19,7.33,19.25,23.08,55.8,24.04,48.56,21.03,22.35,27.34,17.13,20.26,13.05,12.21,15.8,34.09,17.04,13.03,17.79,17.24,16.51,15.94,11.56,42.21,23.32,24.76,14.87,21.26,11.35,12.64,15.49,13.03,8.87,19.13,26.56,34.73,8.35,17.49,30.39,23.73,48.4,13.04,13.53,24.6,53.39,10.24,17.52,3.43,29.11,23.82,14.58,11.74,13.58,8.59,4.78,42.73,9.25,20.66,25.01,17.12,9.78,22.35,12.1,12.38,4.9,2.19,10.48,5.11,12.32,24.04,42.05,14.83,33.37,13.63,7.57,18.52,17.29,25.25,2.75,8.36,7.24,13.85,7.49,17.17,9.92,33.77,17.64,19.3,20.52,12.6,20.72,7.17,5.48,5.1,17.45,16.32,22.43,1.59,9.65,5.83,19.78,29.27,28.86,15.28,5.39
8/18/2015,64.04,21.82,29.9,19.56,27.05,40.35,25.83,52.91,21.87,7.03,438.13,33.94,10.41,59.78,49.69,37.96,43.99,65.64,52.11,15.83,179.44,NA,12.27,19.52,46.55,43.36,32.6,99.34,170.6,30.54,10.98,2.11,24.4,48.92,41.96,12.18,14.31,36.51,69.91,23.37,13.21,37.68,50.48,51.83,9.49,65.1,15.27,14.79,17.98,6.85,11.49,4.37,34.36,19.81,26.43,30.37,35.34,9.39,42.12,37.66,35.94,3.86,16.79,17.91,9.53,14.62,35.67,11.02,36.8,72.03,8.63,22.17,8.38,23.24,16.33,13.62,82.47,32.63,22.32,39.06,15.92,15.18,46.02,66.39,28.3,15.14,31.14,21.99,11.9,17.69,10.05,40.67,34.76,5.88,13.65,6.29,51.83,70.42,19.8,21.1,5.38,19.58,25.81,34,23.75,9,24.31,37.78,24.43,20.45,12.19,32.75,31.79,9.6,36.97,20.84,8.13,13.32,NA,20.94,22.22,7.32,19.13,23.43,54.74,24.19,47.5,21.26,22.22,28.09,17.68,21.1,13.14,12.14,15.77,34.16,16.73,12.96,17.51,17.43,16.29,15.86,11.64,42.36,23.71,24.08,14.71,21.16,11.38,12.61,15.36,12.88,8.84,19.1,26.72,34.4,8.32,17.84,31.11,23.91,47.68,12.84,13.6,24.07,52.81,10.52,17.4,3.42,29.26,23.67,14.35,11.54,13.54,8.66,4.74,41.8,9.36,20.38,24.55,16.96,9.82,22.51,12.15,12.46,4.9,2.22,10.27,5.23,12.38,24.15,41.39,14.94,33.44,13.55,7.52,18.58,17,24.84,2.73,8.4,7.16,13.86,7.43,17.35,9.84,33.77,17.6,19.37,20.77,12.56,20.77,7.36,5.51,5.16,17.56,16.56,22.42,1.62,9.81,5.76,19.69,29.42,28.94,15.43,5.63
8/19/2015,63.55,21.81,30.08,19.47,26.81,39.75,25.69,52.58,20.72,6.98,433.41,33.57,10.45,58.24,48.64,37.27,43.84,63.22,51.48,15.61,178.16,NA,12.17,19.33,46.16,42.09,32.22,97.29,164,30.25,10.65,2.11,23.97,48.38,41.34,12.37,14,36.28,68.71,23.31,13.16,37.28,49.96,50.57,9.33,64.71,14.89,14.58,17.69,6.76,11.36,4.36,33.77,19.04,25.61,30.18,34.57,9.29,42.25,37.02,35.29,3.85,16.49,17.8,9.43,14.5,35.91,10.94,36.78,71.6,8.19,21.85,8.28,23.37,16.32,13.64,80.51,32.27,22.05,38.55,15.69,14.94,45.22,63.33,28.78,15.13,30.51,21.55,11.75,17.31,10.03,40.07,34.08,5.83,13.49,6.2,51.31,67.87,19.59,21.16,5.3,19.23,25.43,33.44,23.34,8.84,23.59,37.54,24.46,20.07,11.83,33.03,30.7,9.38,36.77,20.71,8.06,13.04,NA,20.61,22.01,7.28,18.85,22.81,54.08,23.82,45.63,21.04,21.69,27.76,17.62,20.64,12.55,11.64,15.6,33.8,16.29,12.44,17.11,17.2,16.07,15.49,11.39,41.44,23.74,23.61,14.48,21.22,11.27,12.43,15.36,12.67,8.74,18.87,26.28,33.72,8.16,17.94,30.98,23.7,46.67,12.52,13.58,23.78,51.98,10.53,17.49,3.4,29.37,23.05,14.03,11.42,13.54,8.63,4.82,40.44,9.33,20.44,23.82,16.76,9.62,22.13,11.98,12.31,4.84,2.18,9.77,5.08,12.07,23.66,41.44,14.58,33.64,13.08,7.4,18.27,16.82,24.3,2.66,8.33,7.15,13.79,7.4,17.14,9.67,32.85,17.53,18.99,20.52,12.37,20.6,7.6,5.36,5.18,17.14,16.42,21.57,1.63,9.74,5.67,19.39,29.21,28.89,15.37,5.71
8/20/2015,62.54,21.78,30.91,19.5,26.13,39.23,25.93,52.48,20.43,6.87,437.13,32.92,10.65,58.08,47.98,36.29,42.81,62.85,51.33,15.52,178.36,NA,11.92,18.84,45.84,40.55,31.38,98.16,162.22,30.03,10.46,2.09,22.88,46.34,40.96,12.13,14.16,35.12,67.77,23.47,12.9,36.57,49.49,50.39,9.38,64.4,14.89,14.71,17.67,6.71,11.08,4.36,33.67,18.49,25.26,30.6,33.45,9.16,41.33,37.13,34.81,3.79,16.2,17.73,9.5,14.28,34.37,10.79,37.38,73.16,8.11,21.74,8.39,23.13,16.19,13.21,79.84,32.11,21.76,37.86,15.7,14.64,44.64,64.23,28.53,15.01,30.58,21.19,11.71,17.08,9.79,40.12,33.45,5.68,13.45,5.99,50.1,66.78,19.59,21.19,5.23,18.77,25.32,33.49,23.42,8.99,23.32,38.14,24.91,19.99,11.77,32.72,30.98,9.25,36.48,20.75,7.93,13.14,NA,20.48,21.31,7.21,18.73,22.97,53.55,23.62,44.97,20.95,21.23,27.1,17.55,20.26,12.2,11.41,15.48,33.25,16.27,12.2,16.99,16.56,15.59,15.22,11.34,40.61,23.94,23.65,14.24,21.18,11.35,12.38,15.46,12.52,8.58,18.74,26.21,32.68,8.28,17.55,30.98,23.66,46.16,12.44,13.04,23.74,52.42,10.52,17.59,3.33,29.77,23.6,13.94,11.56,13.35,8.57,4.76,40.24,9.22,20.34,23.46,16.88,9.59,21.76,11.63,12.3,4.8,2.15,9.55,4.99,11.83,22.89,41.33,14.1,33.81,12.99,7.3,18.18,16.62,24.14,2.63,8.33,7.06,14.14,7.49,16.76,9.77,32.79,17.38,19.17,19.98,12.56,20.11,7.61,5.45,5.1,16.91,16.5,21.52,1.63,9.79,5.65,19.41,29.2,28.47,15.05,5.9
8/21/2015,61.26,21.52,30.07,19.09,25.24,38.35,25.86,51.33,19.93,6.66,426.14,32.37,10.51,57.77,47.09,36.24,41.18,61.42,49.99,15.39,173.04,NA,11.85,18.93,45.42,39.22,31.22,97.77,161.28,29.43,10.17,2.04,21.72,45.91,40.35,11.83,13.82,34.33,65.85,22.79,12.91,35.35,48.13,49.81,9.19,63.55,14.93,14.53,17.51,6.49,10.91,4.19,32.96,17.48,24.87,29.54,31.75,9.07,40.47,35.4,33.86,3.81,15.89,17.26,9.3,13.76,32.66,10.77,36.13,71.51,8.03,21.41,8.15,22.56,15.67,12.55,78.66,31.61,21.54,36.76,15.34,14.4,43.38,62.24,28.39,14.56,30,20.62,11.68,16.97,9.81,39.25,32.22,5.67,13.03,5.86,49.52,65.08,18.97,21.05,5.1,18.46,25.19,33.12,22.87,8.76,23.03,37.25,23.5,19.69,11.5,31.94,29.08,9.07,36.19,20.5,7.64,12.85,NA,19.91,20.54,7.1,17.9,22.05,51.87,23.03,44.64,20.71,20.83,26.1,16.91,19.77,12.07,11.03,15.31,31.94,16.08,11.81,16.79,16.42,15.42,14.83,11.16,39.53,23.52,22.84,13.97,20.83,11.13,12.16,15.29,12.33,8.6,18.06,25.5,32.51,8.09,16.99,30.3,23,45.71,12.3,12.56,23.2,50.89,10.5,17.55,3.24,28.92,23.33,13.63,11.39,13.09,8.46,4.73,39.49,9.18,20.05,23.4,16.57,9.6,21.4,11.17,12.01,4.7,2.13,9.16,4.88,11.57,22.42,41,13.54,33.57,12.67,7.16,18.02,16.38,23.77,2.59,8.33,6.88,13.65,7.29,16.24,9.39,32.12,16.79,18.22,19.35,12.28,20.07,7.47,5.14,5.03,16.74,16.17,21.32,1.6,9.48,5.41,19.11,28.67,28.34,14.78,5.55
