Code,J:TYMO(VA)~U$,J:TTMO(VA)~U$,J:SFTB(VA)~U$,J:NTT(VA)~U$,J:SO@N(VA)~U$,J:CP@N(VA)~U$,J:DDIC(VA)~U$,J:TA@N(VA)~U$,J:D@SA(VA)~U$,J:MITF(VA)~U$,J:RETA(VA)~U$,J:HO@N(VA)~U$,J:RHCL(VA)~U$,J:UC@N(VA)~U$,J:KA@N(VA)~U$,J:ABOT(VA)~U$,J:SMFI(VA)~U$,J:DA@N(VA)~U$,J:RG@N(VA)~U$,J:YP@N(VA)~U$,J:JRCE(VA)~U$,J:JPHC(VA)~U$,J:ITCN(VA)~U$,J:ZJ@N(VA)~U$,J:SEVI(VA)~U$,J:MIHO(VA)~U$,J:CN@N(VA)~U$,J:EAJR(VA)~U$,J:DU@N(VA)~U$,J:HC@N(VA)~U$,J:UM@N(VA)~U$,J:MIZH(VA)~U$,J:SHDO(VA)~U$,J:DE@N(VA)~U$,J:FP@N(VA)~U$,J:SNET(VA)~U$,J:TERU(VA)~U$,J:BR@N(VA)~U$,J:ES@N(VA)~U$,J:ME@N(VA)~U$,J:MT@N(VA)~U$,J:OTHD(VA)~U$,J:FT@N(VA)~U$,J:CQ@N(VA)~U$,J:OLYC(VA)~U$,J:KP@N(VA)~U$,J:JT@N(VA)~U$,J:KB@N(VA)~U$,J:KM@N(VA)~U$,J:NM@N(VA)~U$,J:MI@N(VA)~U$,J:YHOO(VA)~U$,J:ASBR(VA)~U$,J:DALF(VA)~U$,J:DH@N(VA)~U$,J:MIFU(VA)~U$,J:MSAD(VA)~U$,J:NR@N(VA)~U$,J:SQ@N(VA)~U$,J:FJ@N(VA)~U$,J:IX@N(VA)~U$,J:JXHO(VA)~U$,J:KU@N(VA)~U$,J:KH@N(VA)~U$,J:COMM(VA)~U$,J:RAKT(VA)~U$,J:NKSJ(VA)~U$,J:UJ@N(VA)~U$,J:CK@N(VA)~U$,J:WJR(VA)~U$,J:AB@N(VA)~U$,J:AJ@N(VA)~U$,J:AC@N(VA)~U$,J:N@MB(VA)~U$,J:CL@N(VA)~U$,J:KE@N(VA)~U$,J:MEJH(VA)~U$,J:NJ@N(VA)~U$,J:NSSM(VA)~U$,J:OMRN(VA)~U$,J:SE@N(VA)~U$,J:SUEL(VA)~U$,J:SMTH(VA)~U$,J:TD@N(VA)~U$,J:TZ@N(VA)~U$,J:JR@N(VA)~U$,J:ANAW(VA)~U$,J:DP@N(VA)~U$,J:FAMA(VA)~U$,J:IDKO(VA)~U$,J:INPX(VA)~U$,J:KTEL(VA)~U$,J:KN@N(VA)~U$,J:MRBU(VA)~U$,J:IA@N(VA)~U$,J:MCHC(VA)~U$,J:MH@N(VA)~U$,J:IF@N(VA)~U$,J:VF@N(VA)~U$,J:OQ@N(VA)~U$,J:DBHI(VA)~U$,J:SFH(VA)~U$,J:EM@N(VA)~U$,J:TC@N(VA)~U$,J:RY@N(VA)~U$,J:TRAY(VA)~U$,J:TYTS(VA)~U$,J:REND(VA)~U$,J:IN@N(VA)~U$,J:OJ@N(VA)~U$,J:YE@N(VA)~U$,J:AG@N(VA)~U$,J:AL@N(VA)~U$,J:AM@N(VA)~U$,J:AOZR(VA)~U$,J:CC@N(VA)~U$,J:CHBK(VA)~U$,J:CHOC(VA)~U$,J:CONF(VA)~U$,J:SECR(VA)~U$,J:CYBA(VA)~U$,J:DS@N(VA)~U$,J:DENA(VA)~U$,J:EC@N(VA)~U$,J:DENN(VA)~U$,J:EQ@N(VA)~U$,J:DM@N(VA)~U$,J:EB@N(VA)~U$,J:FECL(VA)~U$,J:FUKU(VA)~U$,J:FU@N(VA)~U$,J:GSYU(VA)~U$,J:AQ@N(VA)~U$,J:OM@N(VA)~U$,J:HTCM(VA)~U$,J:IH@N(VA)~U$,J:ZW@N(VA)~U$,J:IM@N(VA)~U$,J:MZYA(VA)~U$,J:JFEH(VA)~U$,J:JGCC(VA)~U$,J:OE@N(VA)~U$,J:KC@N(VA)~U$,J:KW@N(VA)~U$,J:KK@N(VA)~U$,J:KSER(VA)~U$,J:BS@N(VA)~U$,J:KONA(VA)~U$,J:KONM(VA)~U$,J:RK@N(VA)~U$,J:MNIC(VA)~U$,J:UI@N(VA)~U$,J:MASU(VA)~U$,J:KO@N(VA)~U$,J:JZ@N(VA)~U$,J:LM@N(VA)~U$,J:MMOT(VA)~U$,J:PC@N(VA)~U$,J:MO@N(VA)~U$,J:KI@N(VA)~U$,J:FY@N(VA)~U$,J:RZ@N(VA)~U$,J:OU@N(VA)~U$,J:LO@N(VA)~U$,J:NX@N(VA)~U$,J:NU@N(VA)~U$,J:NPIC(VA)~U$,J:NS@N(VA)~U$,J:NY@N(VA)~U$,J:NH@N(VA)~U$,J:BO@N(VA)~U$,J:NIBO(VA)~U$,J:NSKC(VA)~U$,J:OB@N(VA)~U$,J:OJIH(VA)~U$,J:OUMA(VA)~U$,J:RH@N(VA)~U$,J:PB@N(VA)~U$,J:EP@N(VA)~U$,J:SEEP(VA)~U$,J:SZ@N(VA)~U$,J:SHBA(VA)~U$,J:ZB@N(VA)~U$,J:SW@N(VA)~U$,J:SKYP(VA)~U$,J:NIIW(VA)~U$,J:UMCO(VA)~U$,J:SC@N(VA)~U$,J:DPPH(VA)~U$,J:OZ@N(VA)~U$,J:ZC@N(VA)~U$,J:TADH(VA)~U$,J:OC@N(VA)~U$,J:GO@N(VA)~U$,J:TU@N(VA)~U$,J:TKOS(VA)~U$,J:TJ@N(VA)~U$,J:TOHO(VA)~U$,J:EL@N(VA)~U$,J:TOSO(VA)~U$,J:TE@N(VA)~U$,J:JQ@N(VA)~U$,J:TFUD(VA)~U$,J:PT@N(VA)~U$,J:TSHC(VA)~U$,J:TOTO(VA)~U$,J:TOYS(VA)~U$,J:UBEI(VA)~U$,J:YM@N(VA)~U$,J:XE@N(VA)~U$,J:YORU(VA)~U$,J:CW@N(VA)~U$,J:GG@N(VA)~U$,J:HTZZ(VA)~U$,J:JW@N(VA)~U$,J:MISH(VA)~U$,J:MG@N(VA)~U$,J:NIPM(VA)~U$,J:SG@N(VA)~U$,J:NTN(VA)~U$,J:OK@N(VA)~U$,J:FZ@N(VA)~U$,J:GC@N(VA)~U$,J:TOBO(VA)~U$,J:UNIT(VA)~U$
8/10/2015,394965,101955.8,913837.5,131313.2,144529.1,39297.9,207762.8,106165.3,53080.2,360860.8,256052.7,172444.3,31411.9,51190.5,120703.4,114324.3,217089.3,99584.2,97218,91074.1,63833.3,NA,100168,123901.8,79520.4,65914.9,119190.1,62546.6,194062.6,70868.6,84808.4,233051.6,54155.4,78062.7,86298.3,26867.9,44044,139028,72862.2,89776,87176.7,75313.7,91249.3,57761.3,60053,53426.7,45472.4,61829,66261.3,95228.3,73657,59445.1,61469.3,154380.6,66756.7,95135.3,117754.6,78417.7,56838.7,80567.7,54119.5,44394,60472.7,31489,27986.5,69312.6,100648.8,53460,62725.2,95463.3,14713.8,36350.7,45126.3,27939.1,33532.6,39473.8,65010.2,59511,63204.2,37327.4,43786.3,42275.4,42609.6,55424.2,55492.2,37263.6,51409.9,20470.8,18515.1,7979.9,58410.5,10245.1,27485.7,48182,51991,56764.8,51525.5,86677.8,11677.6,30892.8,44600.2,17486.7,47337.1,116678.7,8854.5,202686.3,15559.3,26782.4,14998.1,42836.8,20764.9,20777.5,64153.1,19764.9,18520.5,74935.1,19258.4,11335.4,NA,19992.9,14669.3,43190.4,71019.3,9881.2,75166,11617.7,26100,19853.4,9599.7,15092.5,11453.4,11078.5,56146.2,20809.5,28772.1,41541.6,41335.8,30336.5,16415.1,75365.7,31519.1,13943.2,45942.1,26991.8,26803.7,16684.7,38140.6,32497.7,37487.6,17798.4,1959,27756.6,6888.8,87475.8,7201.2,26309.8,38061,36687.7,20550.5,38163.7,31436.8,9801.8,49961.9,16886.9,10191,7756.5,14739.6,15121.7,45803.5,21060.2,13872.7,11803.9,30055.8,41321.3,13356.9,15720,82990.1,8965.6,18015.3,28462.1,49469.8,36126.1,16923.2,4931,2628.2,16754.6,94998.7,83019.3,11896.9,13219.8,16541.8,38421.2,54851.4,22330.9,5331.2,13656.7,25684.3,8919.9,3311,4127.6,1330237.7,26421.9,10724.3,17306.9,19752.4,28141.2,11473.7,27491.2,32922.9,42010.4,33966.1,13175.3,8965.6,3072.4,7850.6,7609,33329.5,4691.7,7670.6,16264.7,14561.1,3330.2,11054,4728,27893.7
8/11/2015,532618.4,172061.4,941362.7,169289.6,289982.4,43735.2,171419.4,115070.4,76646.8,478525.2,318151.9,165069.9,45265.8,66968.7,110354.3,125984.9,310622.6,124584.7,95797.8,91110,82478.1,NA,110743.8,106856.1,93593.4,112966.3,92028.9,87527.9,174931.9,141273.9,85086.5,399058.6,90561.9,89009.1,96479.8,25537.1,45840.2,131221.2,57368.7,96340.9,88558.8,62352,89246.3,60763.9,42671,52343.9,54731.4,66413.9,90388.7,123637.2,104184.8,43200.5,49608.9,288457.4,85396,135131.8,84277.9,120157.2,84219.2,98368.3,64889.7,42434.2,68121.1,23635.3,32984.4,93902.8,93497,71596,132560.1,78182.7,27299.6,38082.5,46335.9,40706.5,42810.8,75598.9,123461.6,67057.6,108671.1,36284.3,114442.5,38151,61108.5,69485.7,65342.7,33357.2,50305.9,31982.5,18700,18968.9,52102.5,9056.3,31233.7,94618.4,44692.2,44728.9,66031.5,69662.9,11585,35523.5,50500.2,29090.8,69642.9,81711.6,10679.1,127041.4,17710,47411.1,21529.6,82864.6,30362.7,39448.8,101196.8,21252,29249,36591.3,19829.6,11755.4,NA,17949.3,16117.8,54952.6,62368.5,11394,88234.9,11813,21337.1,27313,13051.9,26985.9,11546.5,13765.4,43684.9,26713.9,39720.3,52507.3,54997.2,38004.6,26177.9,110952.4,65547.3,17930.1,59152.7,44712.1,34105.6,18926,57915.4,24479.2,27087.7,18854.1,2316.9,19207.5,10199.5,104887.3,6490.7,40718.6,72315.5,40459,26531,35786.2,31048,9409.3,49746.1,10436.9,15167.6,9668.5,12029.5,10873.7,33968.6,11349.7,16668.8,7135.4,36935.3,45682.6,18127.9,17865.8,69873.4,12337.3,28784.2,30474.6,44354.3,37867.9,20715.2,14139.5,2753.5,25623.3,101579.4,58116.8,14339.5,14965,11630.8,54664.4,33547,25511.4,4750.7,17407.8,38294.1,8025.7,3202.9,10491.1,886746.9,27923,27851.8,17193.4,30486,35729.5,10285.4,24320.9,22204.9,49484.8,21711.9,16281.4,8375.2,5111.2,10399.5,11299.1,18667.2,10987.5,8483.1,15134.1,10026.4,5543.8,6430.4,4199.6,28268.6
8/12/2015,652032.5,192139.8,808892.7,239199.1,256451.5,41802,178718.2,156208.1,66610.8,623534.3,375940.7,158639.9,33339.9,64854.7,98165.8,142575.3,466551.2,107594.3,127402,94194,56729.4,NA,122766,147255,110114,106179.4,110603.2,72166.1,207675,139053.2,97270.6,487959,112171.9,117113.7,83048.9,31199.9,69995.1,138474.5,49328.2,141329.7,107050.6,42921.9,49628.7,58162.9,75507.7,46689.1,52804,71384.5,101818.9,158655.9,109135.1,47789,49383.4,157052.5,62070.4,131136.1,62191.5,130817.3,62246.8,140889.5,70364.8,36710.7,95171,22532.1,39352.9,137889.2,67489.3,86497.3,92051.3,73842.8,20171.4,53820.1,36290.5,49537.8,52576.1,47952.2,71556.4,70706.1,129617.7,44073.7,78369.1,28385.5,68932.1,72998.7,31610.9,23236.7,40614.8,16116,25176.8,8813.5,73200.8,12062.4,24783.2,82807,44987.6,42589.6,72885.6,93818.4,10809.7,28525,69834.8,36111.8,76425.5,94454.8,10968.9,91402.8,19628.6,30641.3,16498.1,94278.2,26568.9,41274,97935.3,15614.6,40965.9,54392.8,20404.2,14694.6,NA,19565.9,23422.3,96025.1,57449.7,6123.2,97140.9,24877.2,19606.7,25235.6,15934.6,15229.9,8381.1,11431.8,51187.8,41465.1,36809.6,67053.7,85543.7,68350,39349.3,163858,56051.1,16533.3,40828.2,61539.8,44437.9,15564.4,88303.1,16558.8,22524.1,16853,2477.4,25445.9,10814.8,91034.2,8650,41256.3,42946,28132.7,27773.1,43020.8,35952.4,18031.5,34559.1,11826.6,15842.7,8428.9,13215.8,6569.4,39773.2,13582,15543,5529.9,33221.5,47798.1,21847.4,17421.3,49645.8,15619.4,29615.2,32917.7,43168.3,45170.6,23098.9,11603.9,3348.1,63606.7,86415.2,54921.5,10451.2,17001.3,11066.6,37317.5,33267.5,16416.8,3592.8,14638.5,19867.7,8831.9,3822.3,3731.5,566770.5,30248.2,22556.1,14232.1,23715.6,40514.4,9024.2,22249.7,78162.6,22605.2,14161.4,31964.9,14461.2,6357,7970.3,12635.4,32441.5,7626,14249.5,20969,10679.3,3882.1,7840.7,6151,42449.7
8/13/2015,536531.2,194271,1031068.5,164412.1,165008.6,66014.1,151793.6,138699.9,76542.8,572959.8,327683.7,132914.6,27553.4,85769.7,86536,139440.9,508369.8,83913.5,107495.7,106576.5,57808.7,NA,78991.2,104755.6,107824.5,81147.1,95717.9,76434.5,194892.7,130928.6,167670.5,417188.7,128426.1,83955.9,104454.4,49589.7,46154.1,128205.9,72419.7,141040.6,114070.4,44417,58218.7,58034.5,44104.9,44269.2,55016.6,86663.4,95159.4,222120.4,78444.3,59188.6,41545.6,157051.1,69107.6,101784.9,71969.8,112333.7,83638.7,116559.3,53731,40147.7,77099.3,36506.3,30835.5,80589,42165.4,96805.4,68096.7,76493,19855.6,45521.3,84122.7,27782,49056.4,53020.9,91991.1,51298,84169,46096.7,51224.4,28708.5,66327.8,64007.4,43541.1,19924.4,50460.6,13651.8,18325.8,9942.1,51354.9,9519.7,30196.5,104765.6,36288,45774.6,97673.1,83298,10774.6,25705.1,78579.6,49722.8,51236.4,107851.2,9235.3,122286.1,18880.9,53574.7,18600.5,66718.7,23749.7,48845.3,78455.6,14931.6,29881.9,40120.3,20647.1,14620.4,NA,23778.1,29051.3,55424.8,26805.3,7656.9,75557.7,19335.9,10869.6,19581.1,12649.1,20096.4,7297.1,11013.5,38441,35835.8,20994.1,46912.2,76688,32374.9,23318.4,91114.3,65632.2,13655.2,43042.2,39078.2,52558,16216.9,39992.6,15706.4,15378.2,18617,3079,22000.7,11384.9,93441.4,7173.4,23841.3,51336.7,30217.3,61219.3,44422.6,38017.7,10584.4,44549.2,12815.5,15950.4,6739.4,12760.5,9862.3,51251.6,20162.7,15881.1,4057.8,48729.9,32201.8,21188.9,16151.4,47849.9,14409.5,27503.9,39326.5,60650.2,36780,23166.6,11458.9,3085.3,56612.5,35050.6,69022.4,14638.9,18274.5,10618.2,51402.9,66846.7,22886.2,4392.6,24409.3,50971,13288.9,3693,4591.8,906301.7,19899.8,24892.5,10757.7,28973.3,36921.7,8892.8,15613.5,51961.3,16312,9031.5,61442.8,8976.6,5566.1,6369.6,10748.6,21162.2,5806.9,35862.9,12836.7,13324.1,6548.7,5395.5,5773.8,35067.4
8/14/2015,331265.1,130906.1,666970,131096.2,111702.9,36420.8,160778.7,103751.9,50114.5,384005.1,271583.9,169655.8,21852.7,50558.2,71869.7,94359.9,266189.6,78188.6,117212.7,103706.5,41247.1,NA,45710.6,96929.4,74539.7,78185.9,67862.8,60545.6,159568.7,85111,93919.3,365403.4,84391.1,50044.1,141584,33338.8,55882.4,100868.9,63407.3,188770.6,89064.3,36145.8,41484.9,59048.5,90312.1,37130.6,37292.8,35160.4,64688.2,90521.5,99027.6,43450.2,38468.9,110730.8,51025.6,249572.1,64381.4,98018.1,48452.5,141652.5,44756.9,45145.8,121439.8,30218.1,24067.8,51772.4,41600.7,51130.4,147198.5,39248.4,23013,25920.5,46504.1,20441,32412.6,80006.9,46655.3,31048.8,105816.9,27359.7,39166.3,24029.6,53647.8,67758.1,28705,17194,44626.1,13513.3,12810.2,7018.9,47815.8,11836.5,23203.1,55740.7,47108.9,25906.6,73612.6,90369.1,8432.9,24287.5,62030.4,21969.2,28842.3,55490.1,10607.5,83936.5,15937.2,80329.3,20358.4,66684.2,15474.2,74416.4,96458.8,28473.3,18408.6,22448.3,18444.3,21143.8,NA,21295.7,22845.7,41246.5,17190.1,8468.6,51111.1,7688.9,11003.7,18602.2,14163.5,13057.4,6869.8,5020.7,21849.6,24549.8,20637.5,44113.9,53758,41988.6,24483.8,91753.9,42980.9,16682.7,25639.8,27973.3,23931,12204.7,31814.2,17606.6,23130.4,19891.6,2390.1,21792.4,6515.6,64977.5,7910.8,19006.1,39745.6,34680,47105.4,44121.4,24598.5,16385.7,111913.5,13864.8,14554,7287.6,16556.5,7001.1,32213.8,11869,10846.6,6637.9,80665.6,27842.9,26963.2,20326.4,44177.2,10244.5,12901.9,32413.6,46144.8,25845.1,18338.6,13100.5,3250.9,30697,32413.6,48848.9,10168.9,22271,16857.3,42131,43853.8,25730.5,4400.9,13188.9,46592.2,11291.6,5246.8,5254.9,1049594.3,46900.3,33310.4,17321.9,15093.9,21622.7,11502.1,9809.3,27890.2,13726.2,11494.1,42888.1,7535.5,4846.5,5097.6,7477.1,11135.1,4631.8,21069,29889,18761,4694.8,4793.6,3567.5,23438.2
8/17/2015,322155.4,83381.9,360902.8,186219,149479.3,38520.4,135195.1,72898.8,34007.8,414437.8,113267,144869.5,40954.8,37210.3,49400.2,107016.4,275970.4,59438.2,53529,80321.1,35376.8,NA,47016.8,54540.7,55917.7,74058.8,46959.6,49342.9,91716.6,76211.5,83418.6,316239.1,49655,47361.7,151470.9,20828.8,26301.5,70621.8,66663.7,110070.5,57507.7,33873.4,25402.4,40944.8,47005.4,26675.5,32107.8,34750.2,63922.6,89320,49121.8,43840.9,29428.4,113501.7,46555.5,106676.1,78030.8,98224.8,57435.6,100360.8,31505,30408.4,60462.2,20080.8,16777.6,43450.9,45845.7,28509.4,62668.6,32713.6,15635.1,24763.4,28193,16859.3,20472.5,54274.7,43217.9,39755.7,58340.7,29631.6,29505.3,19494.8,65080.1,34132.9,31557.4,17368.4,29865.2,8264.8,11000.9,6729.2,29179.6,6424.1,38415.6,30607.7,44847.5,21791.4,31877.7,42867.7,6158,21442.8,46403.7,12322.7,26271.4,46613.6,9515.1,71585.5,10284.9,36733.6,14530.8,32627.5,9159,52633.3,61502.4,15070.8,30984,25448,17566.4,18888.3,NA,14105.6,14882,28644.6,31508.6,7873.8,33737.1,16577,6045,10579.2,11292.5,13512.5,5811,7718,28253.7,11214.7,12450.2,18433.5,34404.2,32668.2,11435.7,53197.2,27953.4,9157.6,36990,20214.5,28964.6,9767,24664.7,16080.3,12203,16923.5,1505.7,15987.8,4597.4,52246.4,4976.9,11838.3,31947.9,26858.8,32375,34231.7,12054.3,6733.2,67428,14161.6,7882.5,5664.7,9074.4,5622.3,15980,8175.5,8047.4,3088.1,45053.8,28891.7,21552.2,11730.1,38060.1,8229.7,16032.1,20921.9,39473.4,36821.8,20921.7,11403,3878.9,21294.4,26828,44018,9435,12845,8778.5,34761,29268.2,20577.1,2206.2,10632.3,36382.4,7820.7,2379.2,5570.6,506018.8,27368.1,21920.5,11043.9,15260,25853.6,5844.6,5842.1,40018.5,8357,10009.9,14881.5,6044.6,3457.1,4569.3,6037.5,16093.2,2973.3,11475.8,16822.6,13668.1,6931.5,2523.5,5910.5,20918.8
8/18/2015,266075.8,88516.3,414030.4,157285.9,116111,22663.7,100919.2,124937.2,59634.9,322415.3,186122.4,89997.7,21501.6,32917.3,58192.4,65165.8,219267.7,45451.8,59771.7,81390.1,43511,NA,75647.1,61354.6,63639.3,54544.4,87383.1,89323.2,104581.6,54389.9,64845,323399.6,43163.5,52897,103636.9,23083.2,22334.7,68082.4,44282.9,72971.1,66815.9,44001.3,32585.1,23998.2,81527.4,24653.8,61184.9,38984.8,117724.8,69155.8,72452.2,58291.3,54743.5,89976.2,31681.2,79368.9,64857,60105.4,52636,83354.6,23677.9,78456.9,51735.4,30181.2,14771.9,75590.7,38585.5,24312.2,49231,40353.1,20426.2,47091.7,34811.3,20441.5,30332.2,57392.7,65530.5,48322.9,50306.1,23405.9,30566.2,24694.9,51313.2,33297.6,29631.6,16282.5,35724.6,8370.8,14646.3,6096.5,40023.6,4671.5,19582.3,30552.5,99658.8,58885.8,35838.6,29180.2,4668.7,17433.5,32255.5,16611.5,35085,49945.7,6013.3,52140.7,9667.6,17124.7,15859.8,31477.3,13283.7,57187.7,184864.3,11314.9,38706.5,44304.7,14353,9206.7,NA,15826.7,12998.2,28469.4,20932.9,11924.8,44836.5,7945.3,12247.9,17134.6,11476.9,20530.5,22747,44151.7,29821.8,14545.7,12888.4,38309.8,29659.4,27751.7,13761.6,43843.3,47373.9,11940.9,36640.5,35082,51331.1,14604.3,30277.9,10315,14597,12864.8,1660.4,11857.3,5425.2,54474.5,5276.5,18756.8,31895.4,23564.8,40701.8,28072.7,19381.8,8987.8,55256.4,12822.7,9001.8,10088.4,11693,3992.3,37778.3,6343.5,9547.3,3484,28977.6,36535.1,13939.6,19923.9,39949.2,9191.1,17079.8,34221.5,48633.4,25224.7,18205.9,10908.9,2502.8,25376.5,31934.5,59443.7,8241.2,14217,8265.2,26130.3,23916.3,22391.1,1761.5,15190.5,20421.4,7398.4,1918.4,4836,632164.6,16327.5,14530.6,12345.9,20898.3,16557,5366.5,14993,37834.3,11212.5,7062.8,19996.4,12163.4,6074.3,3859.4,6774.9,7835,4337.4,15712.8,16721.3,8314.7,3364.5,3107.9,5610,20382.2
8/19/2015,389134.4,83264.6,337613.5,153850.3,141311,26646,128435.8,82544.7,106539.4,429801.4,211348.1,113465.8,31071.9,68968.3,81228.7,121400.4,354514.3,158987.5,63014.6,92594.8,64580.5,NA,60542.4,80196.4,83838.5,103292,107972.4,99764.2,221051.8,94816,80304.6,451810.4,67035.4,74434.2,98741.5,47028.1,42882.7,74577.4,57762.6,118157.9,69941,46129.3,53245,61089.1,77176.1,33100.6,68799.3,59783.6,92114.2,96257.5,75913.3,38180.9,60047,125632.9,69857.4,119077,84237.8,103288.8,63573,176490,50979.2,51092.9,59084.2,33614.4,23228.3,49059.3,66486.7,34970.5,62836.7,42505.7,33689.1,40182.7,37278.6,38398.2,49243.6,32812.4,41329.1,58866,79575.2,48004.6,42382.3,32431.7,73086.4,116826.3,63814.8,17239.3,50630.9,12286.8,14254.2,9790.8,41304.5,7932.3,24481.7,42739.5,48902.9,35047,55041.8,77020.6,9504.8,24506.8,62745.2,24457.2,51063.6,56328.2,14977.3,56183,17659.5,36482.7,21761.2,28692.9,28660.5,40731.4,122762.4,19301.6,42862.7,38955.3,20437.6,12218.2,NA,13539.3,17553.3,44622.3,25037.6,10791.9,45200.5,9422.1,19122.2,9587.1,14444.4,15402.5,7729.8,22987.9,64354.6,34307,17303.2,36006.2,43156.1,60240.4,26522,57351.6,34534.7,13084.6,29134.4,46597,48986.7,12999.8,34928.7,19319.1,25899.1,12512,2298.7,18095.9,8855.8,77108.5,4488.7,28797.4,40255.2,53275.2,37312.1,29130.1,21566.5,8876.1,46800.1,13579.5,10696.4,13672.2,13690.9,7431.4,40668.7,10606.4,13524.1,4648.5,46357.9,47283.3,19090.2,21138.9,38463.6,7257.8,18683.1,35613.4,36242.9,36640.9,19573,6223.8,2877.8,46594.7,42942.8,55159.5,8363.9,17214.7,9892.7,33014,43082.9,30419.9,2871.1,13568.2,21197.2,8231.5,3935,2765.1,611489.6,19802.5,15316.1,10817.7,22901.6,26859.4,7156.3,30268.8,58383.7,20150.2,7150.5,45786.3,9913.1,4277,5172.4,4349.7,15894.2,7638.2,9525.7,23816,14101.9,3809.9,3811.9,6881.1,22749.8
8/20/2015,598238.2,103193.9,713761.2,129466.5,229219.7,27187.2,131711.9,110006.8,92897.2,489190.3,203250,137628.8,43959.5,61953.8,87889.4,131610.9,433312.2,114798.8,80273.5,102236.3,68455.5,NA,76302.2,148980.6,80192.8,119493.7,150111.3,86927,205361,137622.2,113673.5,415555.8,96940.1,172714.2,83408.8,34898.1,44850.8,142971.5,55029.5,115499.2,151302,45291.5,51237.9,58689.1,70012.4,30499.2,67142,69197.1,108022.4,103042.6,103276.9,57557.4,42098.8,140162.6,62665.1,110670.3,107397.1,128344.2,52925.8,120875.5,48321.6,54012.2,66231.3,18735.8,20532.2,68057.2,82461.6,55978.5,96553.1,104176.7,18950.8,49206.2,64758.4,35233,46021.8,47028.2,45162.2,53744.3,120147.7,45891.2,58191.8,27939.2,59608.5,87924.1,56299.1,21231.8,55658.9,10708.8,13202.5,9067,62900.9,9035.4,37689.4,61216.1,54089.2,45212.7,101158,67077.4,8987,32729.5,60514.2,21892.6,43847.6,48330.8,11568.9,75034.1,12708,31186.4,23922.6,29173,22266,28899.2,94873.1,22750.8,38359.1,40575.8,22325.9,11999.2,NA,11568.5,27771.4,59840,31602.1,9832.3,46988.5,7629.5,11138.6,12215.6,14227.3,19362.6,6381.9,12676.4,51256.7,33995,13894.8,48450.9,35672.5,50936.4,16003.2,103695.3,52937.4,15660.9,32210.1,49471.7,52012.1,17931.4,44533.8,15790.4,19912,14042.5,2480.4,14294.3,10583.6,82941.6,4466.2,34066.4,45628.8,30345,27879.5,22804.3,21895.7,5325.3,119565.2,13482,16400.7,10618.1,12809.8,4867.2,38287.9,18270.1,12193,4103.6,34849.9,29561.6,15396.4,19553.4,39039.4,8090.3,17694.6,25753.5,36569,33520.3,23316.7,14670.2,3051.3,57945.8,42189.2,54935.5,8762.2,23591.4,8919.6,48444.4,62752.4,13143.4,2090.7,17525,20663.9,10501.5,4523.8,2288.5,387357.9,27429.2,15317.9,13301,18888.5,27366.2,7891.4,17018.5,64740.8,17910.2,10263.6,26327.7,33527.4,3941.6,5661.9,6011,17853.1,6229,8715.6,31409.3,16648.8,3529.3,2931.8,6339.9,24698.3
8/21/2015,762037.4,120160.6,644367.9,171096,291692.9,30048.1,223796.1,185288.5,90288.1,776367.8,291392.6,179129.1,39457.1,96213.8,87114.9,170380.6,618063.5,96360.5,95358.5,160502.4,86331.1,NA,73783.8,146316.8,113712.5,123924.2,162164.2,157518,227182.5,172855,132170.1,596626.3,138152.3,159653.3,135999.3,52457.6,50070.7,175710.4,99972.2,192685.7,150884.6,63556.2,80025.4,109527.4,52637,52068.7,86967.9,58050.7,140783.8,239377.9,154933.7,68750.6,48478.4,268775.1,45410.2,207718.7,117594.6,114434.4,51876.2,203245.4,56440.7,83992.8,80766.7,26899.1,40273.2,112307.9,101271.6,60986.2,141699.1,104071,20692.8,52305.2,58797.9,31450.3,50963,55958.8,49661.7,55559.7,99627.3,92262.4,56175.4,32944.1,97153.2,88395.5,57484.2,30583,68830.5,21318.3,12913.9,11273.5,57442.6,12376.2,52343.1,60958.8,45185.7,35536.9,82645.2,100039.4,14780.7,33165.5,61773.7,32742.5,55135.5,67762.7,15818.7,82966.4,15829.6,38732.6,28222.7,33295.5,31252.2,44717.3,206253.7,25366.9,51802.9,76339.2,32409,11310.2,NA,17244.5,34635.3,113309.2,51862.5,15113.5,63471.4,8984.5,12792.1,19474.8,13498.8,18736.2,12287.3,26251.2,47085.9,46523.3,21077.4,78399.2,41168.1,67359.7,15701.7,86803.8,43125.9,23301.4,39992.6,76828.1,52909.7,15652,50743.4,19715,37464,18691.2,3322.5,13966.8,22174.1,208336.6,8988.7,32404.5,64926.4,39732.8,55206.3,37119,25520.4,7257.2,122059.2,17382.5,12267.2,29277,16026.7,6253.3,66267,19795.7,14477.9,7212.6,42617,39699.2,21444.8,14047.1,65646.1,7778.9,18833.3,59426.1,57050.2,36228.6,32080.8,21058.2,3249.1,95110.8,51761.3,60411.4,8653.2,18296.3,10834.7,59323.6,45323.5,21654.8,4109,22345.5,24185.1,15998.1,4151.7,5166.2,463501.6,41633.8,23984.4,19498.7,21044.8,29285.1,11376.2,33174.6,55085.5,21792.5,13563,27290.9,37820.6,6693.4,7213.5,8046.5,15180.2,8571.4,8786.4,28692.7,17203.9,5100.6,6179.5,6794.4,23417.1
