Dates;RIB Software SE;Indus Holding AG;Bilfinger SE;DIC Asset AG;Leoni AG;DWS Group GmbH & Co KGaA;Encavis AG;Hypoport AG;ADO Properties SA;Pfeiffer Vacuum Technology AG;S&T AG;Rhön-Klinikum AG;Hamborner REIT AG;Bertrandt AG;Wacker Neuson SE;Isra Vision AG;HelloFresh SE;Ströer SE & Co. KGaA;Hornbach Holding AG & Co KGaA;Jungheinrich AG;PATRIZIA Immobilien AG;Koenig & Bauer AG;Jenoptik AG;Talanx AG;Klöckner & Co SE;Washtec AG;XING SE;Stabilus SA;Medigene AG;SAF-Holland SA;VTG AG;AIXTRON SE;Wüstenrot & Württembergische AG;Deutz AG;TLG Immobilien AG;SMA Solar Technology AG;Takkt AG;Shop Apotheke Europe NV;Drägerwerk AG & Co. KGaA;Rational AG;JOST Werke AG;Sixt SE;CompuGroup Medical SE;Deutsche Beteiligungs AG;DMG Mori AG;Befesa SA;Krones AG;Hamburger Hafen und Logistik AG;Vossloh AG;Borussia Dortmund GmbH & Co KGaA;Hapag-Lloyd AG;SGL Carbon SE;Heidelberger Druckmaschinen AG;Dialog Semiconductor PLC;Aumann AG;Knorr-Bremse AG;CTS Eventim AG & Co KGaA;Nordex SE;CANCOM SE;Südzucker AG;Dr. Hönle AG;Tele Columbus AG;Steinhoff International Holdings NV;GRENKE AG;ADLER Real Estate AG;CECONOMY AG;Cewe Stiftung & Co KGAA;zooplus AG;KWS Saat SE;Corestate Capital Holding SA
02.01.2008;#N/A N/A;24,19;46,934;18,996;33,19;#N/A N/A;2,706;15;#N/A N/A;56,21;1,512;19,719;8,513;27,8;14,66;2,78;#N/A N/A;#N/A N/A;44,6;8,86;3,201;19,6;6,07;#N/A N/A;21,208;11,48;44,9;#N/A N/A;21,72;14,19;16,9;9,86;19,6;6,94;#N/A N/A;#N/A N/A;11,9;#N/A N/A;50,37;143,5;#N/A N/A;15,55;13;21,6;17,577;#N/A N/A;56,11;60;77,601;1,466;#N/A N/A;31,298;13,963;1,7;#N/A N/A;#N/A N/A;6,74;32,04;1,819;16,16;9,1;#N/A N/A;#N/A N/A;7,463;1,364;17,613;26,5;#N/A N/A;147,5;#N/A N/A
03.01.2008;#N/A N/A;24,02;45,918;18,679;33,15;#N/A N/A;2,706;15;#N/A N/A;57,12;1,476;19,334;8,428;27,49;14,25;2,78;#N/A N/A;#N/A N/A;45,1;8,683;3,043;20,25;5,73;#N/A N/A;21,153;11,58;42,23;#N/A N/A;21,6;14,15;17;10,19;18,5;6,79;#N/A N/A;#N/A N/A;12,05;#N/A N/A;50,63;142,61;#N/A N/A;15,285;13;21,59;17,379;#N/A N/A;54;59,97;78,571;1,466;#N/A N/A;30,412;13,579;1,63;#N/A N/A;#N/A N/A;6,673;32,1;1,824;16,07;9,14;#N/A N/A;#N/A N/A;7,66;1,409;17,162;27,14;#N/A N/A;149,2;#N/A N/A
04.01.2008;#N/A N/A;23,19;44,395;18,196;31;#N/A N/A;2,696;14,6;#N/A N/A;55;1,476;18,994;8,175;28,28;14,42;2,774;#N/A N/A;#N/A N/A;45,1;8,273;3,014;19,7;5,49;#N/A N/A;20,838;11,85;41,55;#N/A N/A;20,52;14;16,42;10,39;18,37;6,76;#N/A N/A;#N/A N/A;11,95;#N/A N/A;50,5;141,28;#N/A N/A;14,68;12,61;21,11;16,614;#N/A N/A;52,7;58,97;74,623;1,466;#N/A N/A;29,248;12,817;1,63;#N/A N/A;#N/A N/A;6,575;31,32;1,819;15,86;9,23;#N/A N/A;#N/A N/A;7,647;1,5;17;27,08;#N/A N/A;147,3;#N/A N/A
07.01.2008;#N/A N/A;23,4;42,41;17,572;30,43;#N/A N/A;2,696;14,6;#N/A N/A;53,91;1,512;18,747;8,128;27,8;14;2,74;#N/A N/A;#N/A N/A;44;7,74;2,89;19,8;5,55;#N/A N/A;20,089;12;40,58;#N/A N/A;20,56;13,15;16,2;9,44;17,91;6,52;#N/A N/A;#N/A N/A;11,89;#N/A N/A;50,01;143;#N/A N/A;13,84;12,24;20,21;15,433;#N/A N/A;49,22;57,59;77,718;1,466;#N/A N/A;26,954;12,704;1,62;#N/A N/A;#N/A N/A;6,53;29,1;1,785;16,04;9;#N/A N/A;#N/A N/A;7,67;1,418;16,904;26,74;#N/A N/A;143,05;#N/A N/A
08.01.2008;#N/A N/A;22,6;43,139;16,833;30,32;#N/A N/A;2,696;14,9;#N/A N/A;53,84;1,512;18,352;7,846;27,3;13,96;2,76;#N/A N/A;#N/A N/A;44;7,807;2,913;19,41;5,7;#N/A N/A;19,45;12;42,09;#N/A N/A;20,36;13,4;16;9,23;18,75;6,55;#N/A N/A;#N/A N/A;11,9;#N/A N/A;49,32;142,96;#N/A N/A;14,33;12,6;19,25;15,301;#N/A N/A;49,71;56;79,541;1,466;#N/A N/A;28,431;12,735;1,7;#N/A N/A;#N/A N/A;6,86;30,66;1,867;16,19;8,92;#N/A N/A;#N/A N/A;7,533;1,409;17,162;26,54;#N/A N/A;146,34;#N/A N/A
09.01.2008;#N/A N/A;22,32;41,672;16,587;29,52;#N/A N/A;2,5;14,9;#N/A N/A;54;1,458;18,334;7,799;26,8;13,5;2,79;#N/A N/A;#N/A N/A;44;7,663;2,766;19,25;5,55;#N/A N/A;17,897;12;42,9;#N/A N/A;20,16;12,91;15,11;8,59;18,2;6,33;#N/A N/A;#N/A N/A;11,6;#N/A N/A;47,15;135,15;#N/A N/A;13,87;12,25;18,71;14,016;#N/A N/A;48,16;54;78,377;1,466;#N/A N/A;27,188;11,885;1,76;#N/A N/A;#N/A N/A;7,063;27,92;1,882;16,08;8,86;#N/A N/A;#N/A N/A;7,323;1,364;16,237;26;#N/A N/A;145,52;#N/A N/A
10.01.2008;#N/A N/A;22,1;41,616;16,614;27,55;#N/A N/A;2,382;14,8;#N/A N/A;51,78;1,35;18,205;8,081;26;13,13;2,8;#N/A N/A;#N/A N/A;42,345;7,49;2,766;19,26;5,27;#N/A N/A;17,44;11,6;41,5;#N/A N/A;19,8;12,85;15,3;8,47;18,4;5,78;#N/A N/A;#N/A N/A;11,58;#N/A N/A;49;134;#N/A N/A;13,56;11,65;17,86;13,535;#N/A N/A;48,37;52;79,57;1,466;#N/A N/A;26,094;11,708;1,73;#N/A N/A;#N/A N/A;7,598;26,61;1,858;14,39;8,65;#N/A N/A;#N/A N/A;7,25;1,355;17,251;25,65;#N/A N/A;144,56;#N/A N/A
11.01.2008;#N/A N/A;21,74;42,364;16,482;28,16;#N/A N/A;2,5;14,7;#N/A N/A;54,25;1,458;18,297;7,987;26;13,24;2,742;#N/A N/A;#N/A N/A;40,5;7,533;2,653;19,02;5,4;#N/A N/A;18,362;11,6;40,8;#N/A N/A;19,28;12,7;14,9;8,49;17,9;5,65;#N/A N/A;#N/A N/A;11,15;#N/A N/A;47,23;131,37;#N/A N/A;13,12;10,93;18,15;13,591;#N/A N/A;48,84;54,95;81,171;1,466;#N/A N/A;28,518;12,269;1,7;#N/A N/A;#N/A N/A;7,218;27,83;1,785;14,03;8,5;#N/A N/A;#N/A N/A;7,2;1,345;17,575;25,6;#N/A N/A;144,99;#N/A N/A
14.01.2008;#N/A N/A;22,06;42,604;17,053;28,39;#N/A N/A;2,402;15;#N/A N/A;54,74;1,422;17,994;7,94;26,5;13,27;2,76;#N/A N/A;#N/A N/A;39,55;7,777;2,772;19,7;5,45;#N/A N/A;18,622;10,68;40,44;#N/A N/A;19,24;12,75;14,57;8,8;18,22;5,93;#N/A N/A;#N/A N/A;11;#N/A N/A;47,99;129,9;#N/A N/A;12,84;10,75;18,44;14,177;#N/A N/A;51,27;55,58;82,393;1,466;#N/A N/A;28,37;12,659;1,6;#N/A N/A;#N/A N/A;7,118;27,09;1,747;14,09;8,59;#N/A N/A;#N/A N/A;7,357;1,373;17,569;25,65;#N/A N/A;146,11;#N/A N/A
15.01.2008;#N/A N/A;21,63;40,259;15,691;26,91;#N/A N/A;2,441;15;#N/A N/A;52,35;1,422;17,334;7,893;26,8;12,6;2,756;#N/A N/A;#N/A N/A;39,75;7,267;2,563;19;5,3;#N/A N/A;17,219;10,03;40;#N/A N/A;18,88;12,6;14,6;8,14;18;5,58;#N/A N/A;#N/A N/A;10,8;#N/A N/A;44,38;126,01;#N/A N/A;12,685;10,47;18,43;12,354;#N/A N/A;50,7;55,29;79,764;1,436;#N/A N/A;27,736;12,042;1,5;#N/A N/A;#N/A N/A;7,095;25,73;1,713;13,51;8,52;#N/A N/A;#N/A N/A;7,043;1,355;16,796;24,13;#N/A N/A;141,51;#N/A N/A
