Dates,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME
1/2/2008,#N/A N/A,15324,400807,80312,120679,#N/A N/A,1122,195,#N/A N/A,33508,2977,268253,2,15549,51556,40975,#N/A N/A,#N/A N/A,100,119151,815898,35125,53626,#N/A N/A,464943,2617,1637,#N/A N/A,17971,47651,10359,1070388,2709,441182,#N/A N/A,#N/A N/A,13242,#N/A N/A,15323,9196,#N/A N/A,58856,17127,33324,296326,#N/A N/A,120959,84621,30281,145665,#N/A N/A,434872,1039009,7000,#N/A N/A,#N/A N/A,412196,296264,7552,356869,3000,#N/A N/A,#N/A N/A,22947,3518,1648573,1987,#N/A N/A,6175,#N/A N/A
1/3/2008,#N/A N/A,25613,353560,42798,164818,#N/A N/A,1122,195,#N/A N/A,69154,955,439363,2501,3904,79970,21745,#N/A N/A,#N/A N/A,50,131940,769896,16760,109198,#N/A N/A,504608,100,5386,#N/A N/A,11487,31335,36323,976000,25195,481506,#N/A N/A,#N/A N/A,17509,#N/A N/A,9664,5236,#N/A N/A,64520,20481,25132,318619,#N/A N/A,93869,45983,102756,198606,#N/A N/A,931605,1367253,44330,#N/A N/A,#N/A N/A,168468,223893,18707,445069,975,#N/A N/A,#N/A N/A,159474,15938,2412606,5162,#N/A N/A,5303,#N/A N/A
1/4/2008,#N/A N/A,21896,333569,145535,239214,#N/A N/A,1071,1000,#N/A N/A,34525,955,382490,109,7961,76196,4185,#N/A N/A,#N/A N/A,50,137532,354445,6120,69188,#N/A N/A,740726,1019,6001,#N/A N/A,16437,23628,3832,1528788,13635,479112,#N/A N/A,#N/A N/A,17864,#N/A N/A,13600,6843,#N/A N/A,154732,38221,29552,421293,#N/A N/A,62608,90178,68179,98272,#N/A N/A,1349212,1619267,44898,#N/A N/A,#N/A N/A,408884,362924,15403,439477,1891,#N/A N/A,#N/A N/A,116250,28496,2251031,1673,#N/A N/A,12871,#N/A N/A
1/7/2008,#N/A N/A,45045,627524,117444,317908,#N/A N/A,6348,619,#N/A N/A,48139,944,458693,3697,5738,87738,12320,#N/A N/A,#N/A N/A,6850,357018,484786,15606,55785,#N/A N/A,769813,3069,12549,#N/A N/A,14464,19222,2617,2123203,25082,931467,#N/A N/A,#N/A N/A,23319,#N/A N/A,19256,15531,#N/A N/A,158988,3061,58291,480600,#N/A N/A,130096,191210,153589,32579,#N/A N/A,2091143,2202888,38154,#N/A N/A,#N/A N/A,227956,900854,19451,651844,3290,#N/A N/A,#N/A N/A,100338,65533,1491373,3698,#N/A N/A,2837,#N/A N/A
1/8/2008,#N/A N/A,62326,442422,136498,404432,#N/A N/A,4453,10,#N/A N/A,34732,611,897442,11505,6234,112769,28685,#N/A N/A,#N/A N/A,4000,245787,561394,4516,88094,#N/A N/A,1022595,1164,4975,#N/A N/A,17705,7009,16207,1461351,8107,850913,#N/A N/A,#N/A N/A,17629,#N/A N/A,11234,6970,#N/A N/A,136806,5224,137607,431768,#N/A N/A,169808,302118,161649,52611,#N/A N/A,1850196,1691375,32302,#N/A N/A,#N/A N/A,1113272,454603,14079,671537,1950,#N/A N/A,#N/A N/A,65706,11193,1563336,21281,#N/A N/A,9259,#N/A N/A
1/9/2008,#N/A N/A,31337,371699,178772,379154,#N/A N/A,1834,10,#N/A N/A,31520,914,830057,6143,4899,239707,11675,#N/A N/A,#N/A N/A,5400,393189,649858,11660,63922,#N/A N/A,1513341,621,8039,#N/A N/A,8966,13665,31383,1472322,3913,862205,#N/A N/A,#N/A N/A,9944,#N/A N/A,24220,16564,#N/A N/A,221128,7478,56268,1593405,#N/A N/A,152163,159196,169342,57937,#N/A N/A,1104448,2340158,43600,#N/A N/A,#N/A N/A,559232,887473,37704,1026915,1400,#N/A N/A,#N/A N/A,40611,53592,4201066,1802,#N/A N/A,4534,#N/A N/A
1/10/2008,#N/A N/A,21997,581131,175585,434145,#N/A N/A,716,29,#N/A N/A,41681,389,755976,7560,10111,104713,33320,#N/A N/A,#N/A N/A,8840,174825,214336,15339,95026,#N/A N/A,1256439,3625,2605,#N/A N/A,13593,26131,29126,1226710,5015,1501934,#N/A N/A,#N/A N/A,12182,#N/A N/A,17780,10840,#N/A N/A,305290,68828,156917,818398,#N/A N/A,196749,286856,196430,74820,#N/A N/A,1219548,2386203,20845,#N/A N/A,#N/A N/A,351764,1147857,8757,2478942,14372,#N/A N/A,#N/A N/A,97209,7816,4674911,3017,#N/A N/A,3183,#N/A N/A
1/11/2008,#N/A N/A,34230,372273,140313,447570,#N/A N/A,441,10000,#N/A N/A,44083,14,594033,1277,3077,69249,7585,#N/A N/A,#N/A N/A,1080,273753,309990,8678,64490,#N/A N/A,1318579,3625,7692,#N/A N/A,12612,5753,21566,1053806,1274,1741333,#N/A N/A,#N/A N/A,20341,#N/A N/A,28602,17698,#N/A N/A,154206,4791,46404,546040,#N/A N/A,91768,258286,170324,67097,#N/A N/A,1767179,2078484,38609,#N/A N/A,#N/A N/A,253948,748397,17177,954289,1800,#N/A N/A,#N/A N/A,99108,18414,2575576,1113,#N/A N/A,5714,#N/A N/A
1/14/2008,#N/A N/A,38071,391687,219138,338008,#N/A N/A,520,701,#N/A N/A,21593,3788,361924,45593,4448,66215,2580,#N/A N/A,#N/A N/A,40,203043,644997,14908,65657,#N/A N/A,1048776,1635,2066,#N/A N/A,12095,6123,20886,811798,3334,931446,#N/A N/A,#N/A N/A,52763,#N/A N/A,11233,21380,#N/A N/A,264804,6375,45030,419241,#N/A N/A,137480,215532,153137,23175,#N/A N/A,964169,1517874,66150,#N/A N/A,#N/A N/A,344112,532774,17944,711568,4551,#N/A N/A,#N/A N/A,37677,32945,1283068,1785,#N/A N/A,4601,#N/A N/A
1/15/2008,#N/A N/A,44311,531456,118271,289809,#N/A N/A,2050,701,#N/A N/A,47725,697,529391,4772,5712,78273,64615,#N/A N/A,#N/A N/A,200,245406,971467,20661,42483,#N/A N/A,1555830,4737,17865,#N/A N/A,11064,17358,11017,1137989,6855,1141397,#N/A N/A,#N/A N/A,4341,#N/A N/A,29666,30563,#N/A N/A,206356,29687,37545,1093427,#N/A N/A,184031,282212,117303,69526,#N/A N/A,1046052,2026268,30540,#N/A N/A,#N/A N/A,409752,542027,23752,916571,200,#N/A N/A,#N/A N/A,91527,4263,2191383,6774,#N/A N/A,9159,#N/A N/A
